activation,seed,epoch,test_acc,mean_mu,median_mu,mean_sigma,frac_mu_negative,mean_standardized_mu
relu,0,0,0.4115,0.020062383264303207,-0.005748259834945202,0.8353617191314697,0.5811987704918032,-0.017089081928133965
softplus_beta20,0,0,0.4357,0.030891481786966324,-0.005909903906285763,0.8449273109436035,0.6293545081967213,0.005719610955566168
silu,0,0,0.4076,0.026016419753432274,-0.0003076782450079918,0.9140985012054443,0.5171618852459017,0.021104563027620316
