image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded,scipy_message,scipy_success,scipy_nit
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,0,40.006208658218384,1686.7914395226917,0.18347726231429043,90.85632948322402,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998912270610253,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,1,38.89614152908325,1631.6323909521104,0.18347726231429043,90.45505502182269,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.999887549877453,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,2,41.13246393203735,1636.8626146024437,0.18347726231429043,89.86568916675462,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998879091863437,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,3,39.67357611656189,1673.8145944622584,0.18347726231429043,89.32129266983597,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998903837599927,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,4,38.94325518608093,1646.5957133773934,0.18347726231429043,91.08036005930171,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998885717600116,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,5,38.30298686027527,1648.1911316542469,0.18347726231429043,91.26140772733609,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998886796204697,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,6,39.258498668670654,1622.2110427860198,0.18347726231429043,90.99361662840445,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998868967985823,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,pgd,random,7,40.322553873062134,1591.8022944545778,0.18347726231429043,88.91827014866082,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998847361491101,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,momentum,random,0,42.280070543289185,1686.7914395226917,0.18347726231429043,90.85632948322402,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998912270610253,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,momentum,random,1,43.591941356658936,1631.6323909521104,0.18347726231429043,90.45505502182269,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.999887549877453,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,momentum,random,2,41.66695952415466,1636.8626146024437,0.18347726231429043,89.86568916675462,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998879091863437,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,momentum,random,3,42.94347143173218,1673.8145944622584,0.18347726231429043,89.32129266983597,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998903837599927,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,momentum,random,4,42.48549723625183,1646.5957133773934,0.18347726231429043,91.08036005930171,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998885717600116,600,,,
64,64,identity_like,checkerboard,10.0,0.5,sigmoid,0.0,0.0,0.0,momentum,random,5,43.757994174957275,1648.1911316542469,0.18347726231429043,91.26140772733609,0.05695289885925769,4.479425349469981e-05,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.9998886796204697,600,,,
