image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded,size
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,40.70270919799805,273.18601196574525,158.5411046829122,14.583128748079451,10.495954810094217,0.1548252975419064,1.0,1.0,4.57797884549512,0.0026042935022538,1.0,0.0,0.4196587755642788,600,32x32
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,40.930777072906494,278.32033740714667,158.54117977602272,14.655471608776876,10.495957581658097,0.1548253708750221,1.0,1.0,4.593723097391528,0.0020767091341773,1.0,0.0,0.4303643734661852,600,32x32
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,40.68188261985779,272.8160517940653,158.54113249450342,14.595602274496224,10.495955346668708,0.1548253247016635,1.0,1.0,4.566844456784481,-0.0009765009904161,1.0,0.0,0.4188716849616389,600,32x32
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,40.559733152389526,268.8380065918586,158.5410805972994,14.472180984062662,10.495951627674064,0.1548252740208002,1.0,1.0,4.594963693361117,0.0022767625370193,1.0,0.0,0.4102728159341268,600,32x32
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,40.14120197296143,269.2272831996122,158.54114726557856,14.52921161337148,10.495958834120712,0.1548253391265415,1.0,1.0,4.57662635166068,0.0044400161537938,1.0,0.0,0.4111252567666703,600,32x32
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,40.90777802467346,262.3695853604965,158.5411893699364,14.184052294521887,10.495944817488809,0.1548253802440785,1.0,1.0,4.577937810985601,0.0008611094961135,1.0,0.0,0.3957333539552597,600,32x32
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,39.8118941783905,272.89912646893663,158.54112600096522,14.611115224686008,10.49596146997366,0.1548253183603176,1.0,1.0,4.589489218370179,-6.249408728433384e-05,1.0,0.0,0.4190486131181826,600,32x32
32,32,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,40.29750680923462,274.52746602179207,158.54113563339092,14.809353208766307,10.495955237406262,0.1548253277669833,1.0,1.0,4.593836540041428,0.0037148469525333,1.0,0.0,0.4224944486217423,600,32x32
32,32,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,38.63706064224243,288.4497377929828,121.52353614142469,21.49583908783649,12.69001791072521,0.11867532826311,1.0,1.0,4.576285805576425,0.0026529254018712,1.0,0.0,0.5787011731359563,600,32x32
32,32,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,40.45270609855652,296.56740177282074,121.5237125616242,21.687200243595598,12.69002461735934,0.1186755005484611,1.0,1.0,4.592646189639117,0.0020633599585973,1.0,0.0,0.5902323996663837,600,32x32
