arch,activation,optimizer,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,min_active_frac,mean_effective_rank,mean_stable_rank,n_layers_measured,n_layers_total,grad_norm
resnet18,relu,adam,cifar10,0,0,0.4567107371794872,1.223104285621643,0.5555,0.000996057350657239,65.77513217926025,0.5220618966747733,0.42041778564453125,50.62404531591079,2.581558767487021,17,17,3.852624114909967
resnet18,relu,adam,cifar10,0,1,0.6380608974358974,0.9782441871643066,0.6599,0.0009842915805643156,18.4448561668396,0.5109129600665149,0.3793449401855469,51.02855671153349,2.5835736919851864,17,17,3.790975582222243
resnet18,relu,adam,cifar10,0,2,0.7123597756410256,0.7885039054870605,0.7333,0.0009648882429441258,18.42131495475769,0.49729834058705497,0.3918190002441406,51.361261143403894,2.6838084319058586,17,17,3.338372618937005
resnet18,relu,adam,cifar10,0,3,0.7581530448717949,0.7169064458847045,0.7498,0.0009381533400219318,18.39666986465454,0.4793867521426257,0.3599090576171875,51.369773752549115,2.7645750256145702,17,17,3.2794449961217933
resnet18,relu,adam,cifar10,0,4,0.7859975961538461,0.6754582759857177,0.7757,0.0009045084971874737,18.289193153381348,0.4571870810845319,0.2815290093421936,51.0025629716761,2.821468675837797,17,17,2.832489089647808
resnet18,relu,adam,cifar10,0,5,0.8100560897435898,0.6262893472671509,0.7907,0.0008644843137107057,18.357877731323242,0.4324793473762624,0.17519670724868774,50.84426447924446,2.872812502524432,17,17,3.2195574118191126
resnet18,relu,adam,cifar10,0,6,0.8274439102564103,0.5591728889465332,0.8118,0.0008187119948743448,18.408743143081665,0.40887751737061667,0.07265894114971161,50.22446823120117,2.9209045031491447,17,17,2.6636111236033972
resnet18,relu,adam,cifar10,0,7,0.8425280448717949,0.661363799905777,0.7796,0.0007679133974894982,18.4232976436615,0.3906444387839121,0.036607544869184494,50.22389159483068,3.0004133406807396,17,17,3.308928644873519
resnet18,relu,adam,cifar10,0,8,0.8565504807692308,0.5232817170143127,0.8243,0.0007128896457825362,18.564040422439575,0.3772692001041244,0.03065761923789978,49.54505266862757,3.009458710165585,17,17,3.3407145233981925
resnet18,relu,adam,cifar10,0,9,0.8650040064102564,0.4623163411140442,0.8448,0.0006545084971874736,18.35542869567871,0.3684627240633263,0.04140515998005867,49.520423468421484,3.072348910219529,17,17,2.9577978881379234
resnet18,relu,adam,cifar10,0,10,0.8781650641025641,0.4304763871192932,0.8563,0.0005936906572928624,18.708176136016846,0.3599449619650841,0.044987671077251434,49.10981980492087,3.058775607277365,17,17,3.493806679919364
resnet18,relu,adam,cifar10,0,11,0.8873597756410256,0.399152094745636,0.87,0.0005313952597646568,18.477523803710938,0.3574525915524539,0.07029420137405396,48.77489384482889,3.1551144123077393,17,17,4.12568015448875
resnet18,relu,adam,cifar10,0,12,0.8985977564102564,0.4128565528869629,0.8609,0.00046860474023534336,18.502537965774536,0.3576282530146487,0.07390251010656357,48.90495900546803,3.1004388753105614,17,17,3.388030861473309
