arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,mean_active_frac_delta,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end,mean_effective_rank_delta
mlp_mixer,gelu,sgd,cifar10,0,25,0.7649180767272216,0.9903534650802612,0.997237615287304,0.006884150207042805,-0.9447019361340051,52.30849766731262,44.85097777843475,-7.457519888877869
mlp_mixer,gelu,sgd,cifar10,1,25,0.7556034110249262,0.9903907477855682,0.9973424561321736,0.006951708346605412,-0.885153727877685,53.15499687194824,44.44424700737,-8.71074986457824
mlp_mixer,gelu,sgd,cifar10,2,25,0.7657359264439987,0.9900500178337096,0.9970977008342744,0.007047683000564797,-0.9136679574753778,52.99970459938049,46.23536443710327,-6.764340162277222
mlp_mixer,gelu,sgd,cifar100,0,25,0.7015374997895727,0.9902222156524658,0.9943178594112396,0.004095643758773804,-0.8092526108298249,53.25581932067871,47.4312436580658,-5.824575662612908
mlp_mixer,gelu,sgd,cifar100,1,25,0.5302696035144042,0.9900936484336852,0.993682026863098,0.003588378429412842,-0.928080929796079,51.52720260620117,46.7656112909317,-4.76159131526947
mlp_mixer,gelu,sgd,cifar100,2,25,0.5960940062456414,0.989779531955719,0.9935160838067532,0.0037365518510341644,-0.6637724272681547,52.01147127151489,48.09892225265503,-3.9125490188598633
mlp_mixer,mish,sgd,cifar10,0,25,0.7934122998993346,0.9968579113483428,0.9988712966442108,0.002013385295868031,-0.8976241537300383,51.901281118392944,45.64870977401733,-6.2525713443756175
mlp_mixer,mish,sgd,cifar10,1,25,0.7623346116209168,0.9969427287578584,0.9989786148071288,0.002035886049270408,-0.9094647751142029,52.594420194625854,45.13050818443298,-7.463912010192871
mlp_mixer,mish,sgd,cifar10,2,25,0.7957213710082671,0.996803104877472,0.998800128698349,0.001997023820876964,-0.8984367115460239,52.02408528327942,45.06089699268341,-6.963188290596008
mlp_mixer,mish,sgd,cifar100,0,25,0.8523735030721239,0.996771365404129,0.9978107213974,0.001039355993270985,-0.797044038345054,51.887760639190674,48.39215970039368,-3.495600938796997
mlp_mixer,mish,sgd,cifar100,1,25,0.8720902132255178,0.9966946840286256,0.9979494214057922,0.001254737377166637,-0.678247427892181,50.67426538467407,49.016950845718384,-1.6573145389556885
mlp_mixer,mish,sgd,cifar100,2,25,0.9114691382491621,0.9965535402297974,0.9976054131984712,0.001051872968673817,-0.6349089715662823,51.73393392562866,47.95682835578919,-3.7771055698394704
mlp_mixer,relu,sgd,cifar10,0,25,0.7955707744046924,0.4580373261123895,0.4629111904650926,0.0048738643527030945,-0.8253340923093214,50.72670578956604,49.2928569316864,-1.4338488578796387
mlp_mixer,relu,sgd,cifar10,1,25,0.34840979351335133,0.4627814590930938,0.4420008696615696,-0.02078058943152422,-0.5561617536777643,50.45249152183533,49.14558935165405,-1.3069021701812744
mlp_mixer,relu,sgd,cifar10,2,25,0.8321543038748772,0.4559269268065691,0.4683486614376306,0.012421734631061498,-0.7213306237236722,50.33380722999573,48.78791069984436,-1.5458965301513672
mlp_mixer,relu,sgd,cifar100,0,25,0.885904631783693,0.4653237257152796,0.4879784323275089,0.022654706612229347,-0.9197685085976601,50.20524263381958,46.19871592521668,-4.006526708602898
mlp_mixer,relu,sgd,cifar100,1,25,0.9049180677107793,0.4585496876388788,0.505008976906538,0.04645928926765919,-0.8666214990549223,49.254040479660034,47.030924558639526,-2.223115921020508
mlp_mixer,relu,sgd,cifar100,2,25,0.9030595421819058,0.4517507348209619,0.5008381186053157,0.04908738378435379,-0.8818748821076025,49.615798234939575,47.07606196403504,-2.539736270904534
mlp_mixer,silu,sgd,cifar10,0,25,0.7617774134276445,0.9971705079078674,0.99893319606781,0.001762688159942516,-0.906366926773533,51.79299211502075,42.93831384181976,-8.854678273200989
mlp_mixer,silu,sgd,cifar10,1,25,0.7678228428572357,0.9972182512283324,0.998983234167099,0.0017649829387665905,-0.9217939003281475,52.3680911064148,42.785395860672,-9.582695245742805
mlp_mixer,silu,sgd,cifar10,2,25,0.8095414043486538,0.9969242811203004,0.998803287744522,0.0018790066242215797,-0.8919983859778204,52.195955753326416,43.32656025886536,-8.869395494461052
mlp_mixer,silu,sgd,cifar100,0,25,0.8921825762457527,0.9970282316207886,0.9978708922863008,0.000842660665512196,-0.8299655304249824,51.88075208663941,45.67284834384918,-6.207903742790229
