norm,activation,seed,epoch,train_acc,test_acc,epoch_time,active_frac,gate_mean,gate_median,gate_std,gate_q01,gate_q05,gate_q10,gate_q25,gate_q50,gate_q75,gate_q90,gate_q95,gate_q99
batchnorm,relu,0,0,0.3252203525641026,0.4371,53.5618200302124,0.5056682352941176,0.5056682229042053,1.0,0.4999678432941437,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,1,0.5160256410256411,0.5431,18.42085886001587,0.49976470588235294,0.49976471066474915,0.0,0.49999988079071045,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,2,0.6138221153846154,0.5824,18.35671043395996,0.4858764705882353,0.4858764708042145,0.0,0.4998004734516144,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,3,0.6711538461538461,0.6478,18.349200963974,0.47853411764705883,0.47853413224220276,0.0,0.49953895807266235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,4,0.7117588141025641,0.6805,18.573384761810303,0.46227529411764706,0.46227529644966125,0.0,0.49857476353645325,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,5,0.7575721153846153,0.7185,18.655568599700928,0.44804470588235296,0.44804471731185913,0.0,0.4972933232784271,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,6,0.7881009615384615,0.7729,18.301984548568726,0.4314776470588235,0.4314776360988617,0.0,0.4952824115753174,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,7,0.8106169871794872,0.7492,18.507030248641968,0.41299294117647056,0.4129929542541504,0.0,0.4923715591430664,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,8,0.8255408653846154,0.8101,18.439683198928833,0.40351176470588235,0.40351176261901855,0.0,0.49060171842575073,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,9,0.8394230769230769,0.8016,18.298871755599976,0.39259176470588236,0.39259177446365356,0.0,0.4883272647857666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,10,0.8513621794871795,0.8246,18.371920824050903,0.3880929411764706,0.38809293508529663,0.0,0.4873158931732178,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,11,0.8646434294871795,0.8381,18.372376680374146,0.3818741176470588,0.38187411427497864,0.0,0.48584601283073425,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,12,0.8763421474358974,0.8538,18.385083436965942,0.3772164705882353,0.3772164583206177,0.0,0.4846898317337036,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,13,0.8842548076923077,0.8417,18.394593477249146,0.37420117647058826,0.3742011785507202,0.0,0.48391595482826233,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,14,0.8960336538461539,0.8442,18.42734432220459,0.3717741176470588,0.3717741072177887,0.0,0.4832785725593567,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,15,0.9057692307692308,0.8652,18.410963773727417,0.36700823529411764,0.367008239030838,0.0,0.4819888174533844,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,16,0.9165665064102564,0.8612,18.412547826766968,0.3666729411764706,0.36667293310165405,0.0,0.4818961024284363,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,17,0.9291466346153846,0.8938,18.402583122253418,0.36608705882352943,0.36608704924583435,0.0,0.48173367977142334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,18,0.9408854166666667,0.8965,18.389347076416016,0.3643529411764706,0.3643529415130615,0.0,0.4812481999397278,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,19,0.9505809294871795,0.9023,18.527122259140015,0.3630670588235294,0.36306706070899963,0.0,0.4808838963508606,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,20,0.9619391025641025,0.92,18.569732904434204,0.3617,0.36169999837875366,0.0,0.48049256205558777,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,21,0.9713141025641026,0.9246,18.59767723083496,0.3618129411764706,0.361812949180603,0.0,0.48052507638931274,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,22,0.9792267628205128,0.9285,18.469009399414062,0.36153176470588233,0.3615317642688751,0.0,0.4804440438747406,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,23,0.9839543269230769,0.9299,18.6533625125885,0.3601094117647059,0.3601094186306,0.0,0.48003196716308594,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,0,24,0.9862580128205128,0.9306,18.467786073684692,0.3611141176470588,0.36111411452293396,0.0,0.4803236126899719,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,0,0.323838141025641,0.4331,18.38030195236206,0.5223505882352941,0.5223506093025208,1.0,0.4995001554489136,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,1,0.4962540064102564,0.5628,18.82659363746643,0.50922,0.5092200040817261,1.0,0.4999149441719055,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,2,0.6094751602564102,0.5927,18.629989624023438,0.49232117647058826,0.4923211634159088,0.0,0.49994105100631714,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,3,0.6721754807692307,0.6744,18.481633186340332,0.4794058823529412,0.47940587997436523,0.0,0.499575674533844,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,4,0.7148838141025641,0.7161,18.409228324890137,0.4655129411764706,0.4655129313468933,0.0,0.49880918860435486,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,5,0.7562700320512821,0.7046,18.42940664291382,0.44668117647058825,0.4466811716556549,0.0,0.4971490502357483,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,6,0.7876201923076923,0.732,18.378569841384888,0.4275494117647059,0.42754942178726196,0.0,0.49472299218177795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,7,0.8068309294871795,0.8002,18.404239416122437,0.41304705882352943,0.41304704546928406,0.0,0.49238112568855286,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,8,0.827363782051282,0.7982,18.365861654281616,0.4020741176470588,0.4020741283893585,0.0,0.4903167188167572,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,9,0.8395833333333333,0.8083,18.328890323638916,0.39803647058823527,0.39803647994995117,0.0,0.4894930124282837,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,10,0.8534455128205128,0.83,18.57646918296814,0.3920811764705882,0.3920811712741852,0.0,0.48821473121643066,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,11,0.8645232371794872,0.8389,18.440602779388428,0.3888964705882353,0.38889646530151367,0.0,0.48749977350234985,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,12,0.8739383012820513,0.8369,18.423654079437256,0.3885164705882353,0.38851645588874817,0.0,0.4874129593372345,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
batchnorm,relu,1,13,0.884755608974359,0.8627,18.531787157058716,0.38157411764705884,0.3815741240978241,0.0,0.48577287793159485,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
