attack,alpha,seed,active_frac,gate_mean,final_loss,mse,psnr,corr
dlg,0.5,0,0.9965986013412476,0.11131278425455093,0.08838105946779251,7.130772113800049,-15.860846150173206,0.15072953701019287
idlg,0.5,0,0.9346300959587097,0.10143893212080002,0.11476298421621323,85.09114074707031,-26.628324035161377,0.03871305659413338
inverting_gradients,0.5,0,1.0,0.11953461170196533,0.005788973532617092,1.2272714376449585,-8.2188868456724,0.3025493919849396
dlg,0.5,1,1.0,0.12254274636507034,0.0006444783066399395,0.3725167214870453,-3.0409382967252494,0.47566863894462585
idlg,0.5,1,0.6731504797935486,0.06306034326553345,0.19220420718193054,3629.287109375,-42.927693837645826,0.14369666576385498
inverting_gradients,0.5,1,1.0,0.12298176437616348,0.0001621466362848878,0.16349072754383087,0.5355881593737684,0.6275399327278137
dlg,0.5,2,0.984587550163269,0.10360027104616165,0.31371915340423584,20.39851188659668,-20.546954271200704,0.09487331658601761
idlg,0.5,2,0.47735968232154846,0.0451061874628067,0.39313679933547974,13138.955078125,-48.636577690067284,0.006944122724235058
inverting_gradients,0.5,2,1.0,0.11622871458530426,0.05557311698794365,3.920334815979004,-13.384201007151233,0.17264866828918457
dlg,0.5,3,0.9789540767669678,0.10777989774942398,0.24814867973327637,20.444429397583008,-20.52602704941821,0.08501178026199341
idlg,0.5,3,0.8583120703697205,0.09043601155281067,0.41878974437713623,496.9212646484375,-34.383152928238864,0.04202880710363388
inverting_gradients,0.5,3,1.0,0.1211736872792244,0.0021977173164486885,0.3547011911869049,-2.91890357965237,0.4818574786186218
dlg,0.5,4,0.9995747804641724,0.11374378949403763,0.06897544860839844,6.962573528289795,-15.727330000541379,0.10407699644565582
idlg,0.5,4,0.056653909385204315,0.0035188717301934958,0.4070586562156677,83201.1953125,-56.5009277111967,0.030927123501896858
inverting_gradients,0.5,4,1.0,0.12284594029188156,4.5255022996570915e-05,0.0993000715970993,2.7308723289128087,0.7385621666908264
dlg,0.5,5,0.9956420063972473,0.10743767768144608,0.02777562104165554,8.755154609680176,-16.7821738608523,0.2185898721218109
idlg,0.5,5,0.17793366312980652,0.01247477438300848,0.024228345602750778,17841.244140625,-49.87378702443109,0.12355358153581619
inverting_gradients,0.5,5,1.0,0.12185634672641754,0.0002410758170299232,0.3898385167121887,-3.268383122115639,0.4401664733886719
dlg,0.5,6,0.9911776781082153,0.11149296909570694,0.3451540470123291,13.409699440002441,-18.63372610118782,0.07868091017007828
idlg,0.5,6,0.9460033774375916,0.10482935607433319,0.34490689635276794,103.49519348144531,-27.508737470513537,0.00343605550006032
inverting_gradients,0.5,6,1.0,0.1209462434053421,0.010702536441385746,1.1601835489273071,-8.004802692755227,0.2345103770494461
