image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded,scipy_message,scipy_success,scipy_nit
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,0,38.48257541656494,1797.4385376385887,251.03150852532636,144.32535533885476,79.34898881572605,0.061286989386066006,0.923583984375,0.8583710407239818,4.550575749510913,0.0037487794913597474,0.893310546875,0.02978515625,0.8603393088171333,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,1,41.22300910949707,1711.5222953006808,225.36473641708983,139.61482599129573,82.32175784422103,0.05502068760182857,0.928466796875,0.8665148063781322,4.56318686202628,0.002696940575419683,0.90966796875,0.02392578125,0.868324977690403,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,2,41.27666091918945,1797.5357907829027,234.61740629017274,144.06601551965434,80.31617171244015,0.057279640207561704,0.927734375,0.8652094717668488,4.559553123197221,0.003437396806125346,0.9033203125,0.02294921875,0.869478311645752,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,3,41.1590518951416,1784.3104653838259,252.36275999792014,142.39927431493575,81.7950780482133,0.06161200195261722,0.92138671875,0.8540344514959202,4.548491978794803,0.0032728285684743706,0.888916015625,0.029296875,0.8585656673018314,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,4,41.18131613731384,1768.0248181502152,256.13946346242614,135.42825817119518,79.17169120333722,0.06253404869688138,0.922607421875,0.8564961521050249,4.550882211564053,0.0033655770578788656,0.89111328125,0.033203125,0.85512677150629,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,5,40.63533139228821,1773.572949289656,238.2590121823723,141.30740222108193,80.51505857427641,0.058168704146086984,0.927001953125,0.8641526578827805,4.557802782512889,0.000937344019184705,0.904052734375,0.0234375,0.8656615662311501,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,6,41.27400040626526,1723.766352237291,262.6713755577845,143.11620930705857,82.3630888055625,0.06412875379828722,0.91796875,0.8483754512635379,4.541992609701406,0.003093613732915971,0.887939453125,0.0283203125,0.8476177614113067,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,7,40.60358023643494,1823.485080966242,256.90190904270867,146.5395718142075,80.65286332639548,0.06272019263738005,0.919677734375,0.8512658227848101,4.546497651846621,0.0021671211830024237,0.8896484375,0.028564453125,0.8591148829654369,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,0,44.64750146865845,1797.4385376385887,6.035614907267192,144.32535533885476,2.450497120094193,0.0014735387957195293,1.0,1.0,4.600856081420567,0.0028506685416907194,1.0,0.0,0.9966421022021723,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,1,44.6197874546051,1711.5222953006808,6.035256352175709,139.61482599129573,2.450388504125388,0.0014734512578553978,1.0,1.0,4.5998302082052,0.002614581349225392,1.0,0.0,0.9964737494984747,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,2,43.61616539955139,1797.5357907829027,6.035267286543258,144.06601551965434,2.45038763753405,0.001473453927378725,1.0,1.0,4.605375773530209,0.0030118332800282564,1.0,0.0,0.9966424772638799,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,3,44.491698026657104,1784.3104653838259,6.035341825445853,142.39927431493575,2.450369578521608,0.0014734721253529914,1.0,1.0,4.602869343833231,0.003090122018311338,1.0,0.0,0.9966175495001944,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,4,42.57384920120239,1768.0248181502152,6.035375193665505,135.42825817119518,2.45043878437029,0.0014734802718909925,1.0,1.0,4.599614813449122,0.002215175494866121,1.0,0.0,0.9965863741664102,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,5,44.113616704940796,1773.572949289656,6.03513833024768,141.30740222108193,2.4503179012163536,0.001473422443908125,1.0,1.0,4.60353332024797,0.0023595954453080026,1.0,0.0,0.9965971862997431,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,6,44.38719725608826,1723.766352237291,6.0349756768511655,143.11620930705857,2.4502414054021138,0.0014733827336062416,1.0,1.0,4.599805712193895,0.002932526818262486,1.0,0.0,0.9964989595782408,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,momentum,random,7,43.24990677833557,1823.485080966242,6.035818128194667,146.5395718142075,2.4505909534266928,0.0014735884102037762,1.0,1.0,4.600659576127124,0.001984300006133275,1.0,0.0,0.9966899547513729,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,0,46.81355428695679,1797.4385376385887,6.034427902010656,144.32535533885476,2.4500450313496698,0.0014732489995143204,1.0,1.0,4.61127515378683,0.003860273824252018,1.0,0.0,0.9966427625892907,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,1,48.67015600204468,1711.5222953006808,6.03447687249526,139.61482599129573,2.450109384803879,0.001473260955199038,1.0,1.0,4.600406915695422,0.0017720755697623652,1.0,0.0,0.9964742049291065,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,2,45.404282331466675,1797.5357907829027,6.034724002584366,144.06601551965434,2.450159023351056,0.0014733212896934488,1.0,1.0,4.6059567281092,0.002981753152631262,1.0,0.0,0.996642779502067,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,3,47.151270389556885,1784.3104653838259,6.033976081066701,142.39927431493575,2.4498375975424165,0.001473138691666675,1.0,1.0,4.604405887409552,0.0025752145344182737,1.0,0.0,0.9966183149187725,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,4,46.90823578834534,1768.0248181502152,6.033977736013714,135.42825817119518,2.4499103311790003,0.0014731390957064732,1.0,1.0,4.604366436981221,0.0022103957462537172,1.0,0.0,0.9965871645725388,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,5,47.11572480201721,1773.572949289656,6.189329962421355,141.30740222108193,3.4258727262681234,0.001511066885356776,1.0,1.0,4.603408218866291,0.0027115956274040027,0.998291015625,0.00048828125,0.9965102478784984,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,6,47.74566173553467,1723.766352237291,6.0351061463054645,143.11620930705857,2.4503378401034115,0.0014734145865003575,1.0,1.0,4.597713665853799,0.0025789919673378995,1.0,0.0,0.9964988838896452,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,nesterov,random,7,46.98451805114746,1823.485080966242,6.03511325105352,146.5395718142075,2.4503565213070146,0.0014734163210579883,1.0,1.0,4.61587719042936,0.004420931226374552,1.0,0.0,0.9966903413062993,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,56.66741752624512,1797.4385376385887,6.071614503395619,144.32535533885476,2.4627356577873827,0.001482327759618071,1.0,1.0,4.530853274012637,0.002703924634597139,0.999755859375,0.0,0.996622073925614,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,58.077515602111816,1711.5222953006808,6.076158983068312,139.61482599129573,2.4639432531863585,0.001483437251725662,1.0,1.0,4.529578430588311,0.002571178514168446,0.999755859375,0.0,0.9964498511063796,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,57.04961156845093,1797.5357907829027,6.075277013444064,144.06601551965434,2.463540884288184,0.0014832219271103673,1.0,1.0,4.527461514247507,0.004662694730577984,1.0,0.0,0.9966202191663744,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,56.309263467788696,1784.3104653838259,6.071738535139074,142.39927431493575,2.462580190883495,0.001482358040805438,1.0,1.0,4.5254356843357,0.004110981373504696,0.999755859375,0.0,0.9965971513069432,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,56.68401646614075,1768.0248181502152,6.07606316436582,135.42825817119518,2.46399553907639,0.001483413858487749,1.0,1.0,4.513754603241706,0.0008936980353883802,0.999755859375,0.0,0.9965633609313681,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,58.04523062705994,1773.572949289656,6.072691477765724,141.30740222108193,2.4627021677593195,0.0014825906928138974,1.0,1.0,4.517064536605063,0.000993816711073822,1.0,0.0,0.9965760125738284,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,57.69310235977173,1723.766352237291,6.071948340589903,143.11620930705857,2.46265362807841,0.0014824092628393318,1.0,1.0,4.510384563306884,0.0017030542236303066,1.0,0.0,0.9964775108107261,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,57.70329833030701,1823.485080966242,6.07265455299451,146.5395718142075,2.4627063636141178,0.0014825816779771752,1.0,1.0,4.537103937420834,0.003404735776023872,1.0,0.0,0.9966697536402236,600,,,
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,0,77.27106952667236,1797.4385376385887,21.854996272811274,144.32535533885476,2.4019160065275305,0.005335692449416815,0.99609375,0.9922178988326849,4.592254745794527,0.0036050728853613714,0.9873046875,0.0107421875,0.9878410327723786,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,1,77.48633313179016,1711.5222953006808,6.030238175207523,139.61482599129573,2.448300962501128,0.0014722261169940242,1.0,1.0,4.624558958124298,0.002287561947033993,1.0,0.0,0.9964766814947343,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,2,78.68793416023254,1797.5357907829027,6.030311652373074,144.06601551965434,2.448353159909484,0.001472244055755145,1.0,1.0,4.631106695053298,0.0036728792021971045,1.0,0.0,0.9966452341681906,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,3,76.02832174301147,1784.3104653838259,6.030238929251379,142.39927431493575,2.448303061286779,0.0014722263010867624,1.0,1.0,4.623520835131948,0.002893438401284355,1.0,0.0,0.9966204093703198,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,4,77.84758043289185,1768.0248181502152,6.030239711928999,135.42825817119518,2.448358855445485,0.0014722264921701658,1.0,1.0,4.619773364581433,0.002169000748272876,1.0,0.0,0.9965892788098766,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,5,76.8958191871643,1773.572949289656,6.030234112982155,141.30740222108193,2.448342798609207,0.001472225125239784,1.0,1.0,4.621893180305482,0.0022388372313267174,1.0,0.0,0.9965999514621616,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,6,78.01349520683289,1723.766352237291,6.0302711165257445,143.11620930705857,2.44824786159674,0.001472234159308043,1.0,1.0,4.625058802251949,0.00265916389969876,1.0,0.0,0.9965016888114222,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
64,64,sobel_x,checkerboard,10.0,0.0,sigmoid,0.0,0.0,0.0,lbfgsb,random,7,77.31954193115234,1823.485080966242,6.030277679557489,146.5395718142075,2.4483229349637177,0.0014722357616107152,1.0,1.0,4.627845114270822,0.0027196691318995838,1.0,0.0,0.9966929931357804,600,STOP: TOTAL NO. of ITERATIONS REACHED LIMIT,False,600.0
