alpha,optimizer,seed,frac_active_sp_gt_0.0001,frac_active_sp_gt_0.001,frac_active_sp_gt_0.01,frac_active_sp_gt_0.05,frac_active_sp_gt_0.1
3.0,momentum,6,1.0,1.0,1.0,1.0,1.0
3.0,momentum,7,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
3.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
3.0,adam,0,1.0,1.0,1.0,1.0,1.0
3.0,adam,1,1.0,1.0,1.0,1.0,1.0
3.0,adam,2,1.0,1.0,1.0,1.0,1.0
3.0,adam,3,1.0,1.0,1.0,1.0,1.0
3.0,adam,4,1.0,1.0,1.0,1.0,1.0
3.0,adam,5,1.0,1.0,1.0,1.0,1.0
3.0,adam,6,1.0,1.0,1.0,1.0,1.0
3.0,adam,7,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
3.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
5.0,pgd,0,1.0,1.0,1.0,1.0,1.0
5.0,pgd,1,1.0,1.0,1.0,1.0,1.0
5.0,pgd,2,1.0,1.0,1.0,1.0,1.0
5.0,pgd,3,1.0,1.0,1.0,1.0,1.0
5.0,pgd,4,1.0,1.0,1.0,1.0,1.0
5.0,pgd,5,1.0,1.0,1.0,1.0,1.0
5.0,pgd,6,1.0,1.0,1.0,1.0,1.0
5.0,pgd,7,1.0,1.0,1.0,1.0,1.0
5.0,momentum,0,1.0,1.0,1.0,1.0,1.0
5.0,momentum,1,1.0,1.0,1.0,1.0,1.0
5.0,momentum,2,1.0,1.0,1.0,1.0,1.0
5.0,momentum,3,1.0,1.0,1.0,1.0,1.0
5.0,momentum,4,1.0,1.0,1.0,1.0,1.0
5.0,momentum,5,1.0,1.0,1.0,1.0,1.0
5.0,momentum,6,1.0,1.0,1.0,1.0,1.0
5.0,momentum,7,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
5.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
5.0,adam,0,1.0,1.0,1.0,1.0,1.0
5.0,adam,1,1.0,1.0,1.0,1.0,1.0
5.0,adam,2,1.0,1.0,1.0,1.0,1.0
5.0,adam,3,1.0,1.0,1.0,1.0,1.0
5.0,adam,4,1.0,1.0,1.0,1.0,1.0
5.0,adam,5,1.0,1.0,1.0,1.0,1.0
5.0,adam,6,1.0,1.0,1.0,1.0,1.0
5.0,adam,7,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
5.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
7.0,pgd,0,0.99658203125,0.99658203125,0.99658203125,0.99658203125,0.99658203125
7.0,pgd,1,0.99560546875,0.99560546875,0.99560546875,0.99560546875,0.99560546875
7.0,pgd,2,0.996826171875,0.996826171875,0.996826171875,0.996826171875,0.996826171875
7.0,pgd,3,0.99853515625,0.99853515625,0.99853515625,0.99853515625,0.99853515625
7.0,pgd,4,0.998779296875,0.998779296875,0.998779296875,0.998779296875,0.998779296875
7.0,pgd,5,0.99755859375,0.99755859375,0.99755859375,0.99755859375,0.99755859375
7.0,pgd,6,0.99755859375,0.99755859375,0.99755859375,0.99755859375,0.99755859375
7.0,pgd,7,0.99951171875,0.99951171875,0.99951171875,0.99951171875,0.99951171875
7.0,momentum,0,1.0,1.0,1.0,1.0,1.0
7.0,momentum,1,1.0,1.0,1.0,1.0,1.0
7.0,momentum,2,1.0,1.0,1.0,1.0,1.0
7.0,momentum,3,1.0,1.0,1.0,1.0,1.0
7.0,momentum,4,1.0,1.0,1.0,1.0,1.0
7.0,momentum,5,1.0,1.0,1.0,1.0,1.0
7.0,momentum,6,1.0,1.0,1.0,1.0,1.0
7.0,momentum,7,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
7.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
7.0,adam,0,1.0,1.0,1.0,1.0,1.0
7.0,adam,1,1.0,1.0,1.0,1.0,1.0
7.0,adam,2,1.0,1.0,1.0,1.0,1.0
7.0,adam,3,1.0,1.0,1.0,1.0,1.0
