norm,activation,seed,rho,start,end,final_test_acc
batchnorm,gelu,0,0.9961538461538462,0.9835623529411764,0.9932670588235294,0.9229
batchnorm,gelu,1,0.9876923076923078,0.9824223529411764,0.9937482352941176,0.9265
batchnorm,gelu,2,0.9815384615384616,0.9831694117647058,0.9936117647058824,0.9247
batchnorm,mish,0,0.9355645489469963,0.9920576470588236,0.9964435294117648,0.9224
batchnorm,mish,1,0.9846153846153846,0.9912235294117648,0.9969317647058824,0.915
batchnorm,mish,2,0.8264717810688881,0.992609411764706,0.996944705882353,0.9163
batchnorm,relu,0,-0.9984615384615384,0.5056682352941176,0.3611141176470588,0.9306
batchnorm,relu,1,-0.9776923076923076,0.5223505882352941,0.3754541176470588,0.9258
batchnorm,relu,2,-0.9953846153846154,0.5028952941176471,0.3658094117647059,0.9258
batchnorm,silu,0,0.9769142700809621,0.9923552941176472,0.9973976470588236,0.9169
batchnorm,silu,1,0.9446153846153846,0.9925482352941176,0.9971870588235294,0.9168
batchnorm,silu,2,0.9571071536924861,0.9935388235294118,0.9974576470588236,0.9176
groupnorm,gelu,0,0.9630769230769232,0.9824070588235294,0.9939458823529412,0.9064
groupnorm,gelu,1,0.9638461538461539,0.9858529411764706,0.9945235294117648,0.8975
groupnorm,gelu,2,0.9848047883652591,0.984150588235294,0.993164705882353,0.9132
groupnorm,mish,0,0.3153846153846154,0.9930776470588236,0.99664,0.8847
groupnorm,mish,1,0.29582612588003293,0.9929682352941176,0.996469411764706,0.8854
groupnorm,mish,2,0.5969230769230769,0.9915070588235294,0.9963082352941176,0.895
groupnorm,relu,0,-0.9084615384615384,0.3831929411764705,0.3063247058823529,0.9016
groupnorm,relu,1,-0.9892307692307692,0.4005070588235294,0.2924329411764705,0.8988
groupnorm,relu,2,-0.9630769230769232,0.3781952941176471,0.309715294117647,0.8824
groupnorm,silu,0,0.9199999999999999,0.9926588235294118,0.9963,0.891
groupnorm,silu,1,0.3769955830460757,0.9957388235294118,0.9964458823529412,0.8927
groupnorm,silu,2,0.8190036696990768,0.9945670588235294,0.9966317647058824,0.8955
