arch,activation,optimizer,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,min_active_frac,mean_effective_rank,mean_stable_rank,n_layers_measured,n_layers_total,grad_norm
resnet18,relu,sgd,tinyimagenet200,0,0,0.06826184379001281,4.001215426635742,0.1246,0.0996057350657239,140.2926197052002,0.5062538437983569,0.3864579200744629,51.52276476691751,2.8259708039900837,17,17,1.9731179875050693
resnet18,relu,sgd,tinyimagenet200,0,1,0.18772007042253522,3.567812612915039,0.1989,0.09842915805643156,89.57506942749023,0.4918982421650606,0.34227561950683594,54.82473911958582,2.983024106306188,17,17,2.3115900794551907
resnet18,relu,sgd,tinyimagenet200,0,2,0.27280729833546735,2.9866941055297853,0.302,0.09648882429441258,90.1577308177948,0.4528222101576188,0.2857513427734375,56.04995413387523,3.1636258433846867,17,17,2.389096483753884
resnet18,relu,sgd,tinyimagenet200,0,3,0.3345070422535211,3.0754446872711183,0.2903,0.09381533400219319,90.1595950126648,0.4297862263286815,0.24924564361572266,56.51441394581514,3.3977129880119774,17,17,2.4569348185951756
resnet18,relu,sgd,tinyimagenet200,0,4,0.379791533290653,2.963366711807251,0.3265,0.0904508497187474,89.87059092521667,0.4218545608660754,0.22826766967773438,56.58314087811638,3.342345349928912,17,17,2.8529659637097757
resnet18,relu,sgd,tinyimagenet200,0,5,0.4128521126760563,2.5980551780700685,0.3862,0.0864484313710706,89.426762342453,0.4155272999230553,0.21223163604736328,56.449907415053424,3.31901015253628,17,17,2.6898745328374116
resnet18,relu,sgd,tinyimagenet200,0,6,0.4402708866837388,2.6819315116882323,0.3731,0.0818711994874345,90.56253719329834,0.41098257373361025,0.20141124725341797,56.60095349480124,3.4816376461702236,17,17,3.197624690161998
resnet18,relu,sgd,tinyimagenet200,0,7,0.4659391005121639,2.5143777523040773,0.4055,0.07679133974894983,90.30526447296143,0.4086415364461787,0.1914505958557129,56.59789724910961,3.418920839534086,17,17,3.097217158325829
resnet18,relu,sgd,tinyimagenet200,0,8,0.4905969910371319,2.6409666915893553,0.3811,0.07128896457825364,89.52716636657715,0.4051239525570589,0.18361997604370117,56.511490541345935,3.4327398889205036,17,17,3.226606595445806
resnet18,relu,sgd,tinyimagenet200,0,9,0.507872519206146,2.4506410190582275,0.4253,0.06545084971874737,90.0726535320282,0.40397803397739634,0.17386388778686523,56.67288140689625,3.4400411563761093,17,17,3.4350061727806316
resnet18,relu,sgd,tinyimagenet200,0,10,0.5287291933418694,2.348105226135254,0.4513,0.05936906572928624,89.71648049354553,0.3995012781199287,0.16252756118774414,56.54813340130974,3.524822852190803,17,17,3.5611232681023073
resnet18,relu,sgd,tinyimagenet200,0,11,0.5501260403329066,2.1593422220230103,0.4768,0.05313952597646568,89.54114270210266,0.398727487115299,0.1626296043395996,56.617748484892005,3.4755885250428142,17,17,3.73009899076941
resnet18,relu,sgd,tinyimagenet200,0,12,0.5707226312419974,2.31111578578949,0.4545,0.04686047402353434,89.67759537696838,0.3976459766135496,0.15656471252441406,56.7752010121065,3.673981827848098,17,17,4.003417034035071
resnet18,relu,sgd,tinyimagenet200,0,13,0.5939000480153649,2.0322874870300294,0.5115,0.04063093427071378,90.15744090080261,0.39390795108150034,0.15050601959228516,56.74319772159352,3.5818777995951034,17,17,4.168091894812424
resnet18,relu,sgd,tinyimagenet200,0,14,0.6169674295774648,1.9968443101882936,0.514,0.03454915028125265,89.66792130470276,0.39208708878825693,0.14343547821044922,56.703328749712774,3.6825496940051807,17,17,4.504072766687336
resnet18,relu,sgd,tinyimagenet200,0,15,0.6498479513444302,1.9030764358520509,0.5349,0.02871103542174637,90.61979937553406,0.38915130320717306,0.14061594009399414,56.740564458510455,3.6936984482933495,17,17,4.976503607736085
resnet18,relu,sgd,tinyimagenet200,0,16,0.6805777848911652,1.8908932048797606,0.5437,0.02320866025105016,90.34668207168579,0.38938989884713116,0.13677453994750977,56.6687209185432,3.6257462361279655,17,17,5.947118044573992
resnet18,relu,sgd,tinyimagenet200,0,17,0.7144786331626121,1.818809529876709,0.5602,0.018128800512565515,89.96987891197205,0.38541309623157277,0.1320815086364746,56.89485101138844,3.8425721701453712,17,17,6.447238271447797
resnet18,relu,sgd,tinyimagenet200,0,18,0.7562419974391805,1.7342386417388915,0.5756,0.013551568628929436,89.7761287689209,0.38845134657971997,0.12436962127685547,56.73230563893038,3.699553875362172,17,17,7.188871589044916
resnet18,relu,sgd,tinyimagenet200,0,19,0.8033270646606914,1.651775505065918,0.5974,0.009549150281252635,90.91923975944519,0.3862956166267395,0.12146282196044922,57.0094456392176,3.957826347912059,17,17,8.114180185231547
