arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end
resnet18,gelu,adamw,cifar10,0,25,-0.8474774872351397,0.9782543638173272,0.975309091455796,0.8900051812690765,52.72551300946404,56.92149981330423
resnet18,gelu,adamw,cifar10,1,25,-0.87971439959125,0.9785758572466232,0.975235641002655,0.8612914654028002,52.48933769674862,57.03120826272404
resnet18,gelu,adamw,cifar10,2,25,-0.8306851492467673,0.9786369169459624,0.974893520860111,0.8825771266696756,53.0010820276597,57.05504944745232
resnet18,gelu,adamw,cifar100,0,25,-0.9131216689649867,0.9790759402162889,0.9728447374175576,0.7282673572279573,49.86539750940659,58.18973182229435
resnet18,gelu,adamw,cifar100,1,25,-0.9165017116239268,0.977299269507913,0.9733596934991724,0.7266965298237476,49.57923575008617,58.24234726849724
resnet18,gelu,adamw,cifar100,2,25,-0.912861358821449,0.9791203421704908,0.9731109878596138,0.7218906456303542,48.83519430721508,58.32582787906422
resnet18,mish,adamw,cifar10,0,25,-0.9012514757552964,0.9870758898117964,0.9840283534106088,0.8818382884602588,53.14758233463063,57.49985728544348
resnet18,mish,adamw,cifar10,1,25,-0.8939887308303744,0.987001517239739,0.9840244931333204,0.8627763705896647,52.73843765258789,57.81737720265108
resnet18,mish,adamw,cifar10,2,25,-0.8889231172736268,0.9866075375500848,0.9840724503292756,0.867933360651557,52.95131436516257,57.51390838623047
resnet18,mish,adamw,cifar100,0,25,-0.828986545405346,0.9875352102167466,0.9842803302933189,0.7407986349235423,50.66570955164292,59.03264797435087
resnet18,mish,adamw,cifar100,1,25,-0.8293969741056364,0.9871765024521773,0.9840594004182256,0.7594880989405335,51.84850445915671,59.09043188656078
resnet18,mish,adamw,cifar100,2,25,-0.8034087827912089,0.988123217049767,0.9842687108937432,0.7361199208711255,50.40783085542567,58.96405433205997
resnet18,relu,adamw,cifar10,0,25,-0.8853360865913932,0.5248396133675295,0.470116105149774,0.88982580106356,51.16386121862075,55.25585488712086
