arch,activation,dataset,seed,rho_active_frac_t0.001,start_active_frac_t0.001,end_active_frac_t0.001,rho_active_frac_t0.005,start_active_frac_t0.005,end_active_frac_t0.005,rho_active_frac_t0.01,start_active_frac_t0.01,end_active_frac_t0.01,rho_active_frac_t0.05,start_active_frac_t0.05,end_active_frac_t0.05,rho_active_frac_t0.1,start_active_frac_t0.1,end_active_frac_t0.1,rho_gate_mean,start_gate_mean,end_gate_mean,rho_gate_median,start_gate_median,end_gate_median,rho_gate_std,start_gate_std,end_gate_std
resnet18,gelu,cifar10,0,0.9070619175313865,0.9951964705882352,0.9992741176470588,0.95,0.989670588235294,0.9965894117647058,0.9853846153846154,0.9838458823529412,0.9933776470588236,0.9984615384615384,0.9394258823529412,0.9674858823529412,0.9953846153846154,0.879375294117647,0.9323658823529412,-0.9353846153846154,0.5423216819763184,0.4543449580669403,-0.09153846153846153,0.5398902893066406,0.454629898071289,-0.9984615384615384,0.3444663286209106,0.2253160625696182
resnet18,gelu,cifar10,1,0.9484615384615385,0.9950823529411764,0.9992823529411764,0.9584615384615384,0.9892741176470587,0.9966976470588236,0.971340660399328,0.9829423529411764,0.993495294117647,0.9953846153846154,0.9346658823529412,0.9677423529411764,0.9944220226266386,0.8691588235294118,0.9331788235294116,-0.943076923076923,0.5433316230773926,0.455856442451477,-0.19230769230769232,0.5295127034187317,0.4559947848320007,-0.9976923076923077,0.3568189144134521,0.2259430736303329
resnet18,gelu,cifar10,2,0.9201769741287891,0.9958588235294118,0.999350588235294,0.9576923076923078,0.9911741176470588,0.9969117647058824,0.9615384615384615,0.9858776470588236,0.9939047058823528,0.9953846153846154,0.945730588235294,0.9696329411764706,0.9969230769230769,0.8901517647058823,0.9369611764705882,-0.9415384615384615,0.5363297462463379,0.4630777835845947,-0.2907692307692308,0.5199848413467407,0.4634677171707153,-0.9992307692307693,0.3340020179748535,0.2251734137535095
resnet18,mish,cifar10,0,0.9251492786361701,0.9990070588235294,0.9996682352941176,0.9199999999999999,0.9958094117647058,0.9983270588235296,0.9438461538461539,0.9921117647058824,0.9966082352941176,0.9838461538461538,0.9630470588235294,0.9828329411764706,0.9969230769230769,0.9215235294117649,0.9639917647058824,-0.74,0.5944622159004211,0.5404518842697144,0.10307692307692308,0.6063164472579956,0.5608072280883789,-0.9992307692307693,0.3139431178569793,0.2062149047851562
resnet18,mish,cifar10,1,0.6855275318456115,0.9988329411764706,0.999710588235294,0.8574726067445948,0.995395294117647,0.9983694117647058,0.9261538461538461,0.9913082352941176,0.996730588235294,0.9507692307692308,0.9585717647058823,0.9833117647058824,0.9700000000000001,0.9124152941176472,0.9650776470588236,-0.7369230769230769,0.5958001017570496,0.5395955443382263,0.07692307692307691,0.6081304550170898,0.5608034729957581,-1.0,0.3219858109951019,0.2053350657224655
resnet18,mish,cifar10,2,0.6419089004846639,0.999090588235294,0.9996788235294116,0.7915384615384615,0.9960423529411764,0.9984776470588236,0.8930769230769231,0.9923105882352942,0.9969682352941176,0.9592307692307691,0.9633741176470588,0.984744705882353,0.9738461538461539,0.922095294117647,0.9683141176470588,-0.7430769230769232,0.5884626507759094,0.5491596460342407,0.09307692307692307,0.5927215218544006,0.5680373907089233,-0.9992307692307693,0.3187125325202942,0.1998498439788818
resnet18,relu,cifar10,0,-0.9723076923076923,0.4879858823529411,0.3699576470588235,-0.9723076923076923,0.4879858823529411,0.3699576470588235,-0.9723076923076923,0.4879858823529411,0.3699576470588235,-0.9723076923076923,0.4879858823529411,0.3699576470588235,-0.9723076923076923,0.4879858823529411,0.3699576470588235,-0.9723076923076923,0.4879858791828155,0.3699576556682586,,0.0,0.0,-0.9723076923076923,0.4998555779457092,0.4827928841114044
resnet18,relu,cifar10,1,-0.9861538461538462,0.5172329411764706,0.3748211764705882,-0.9861538461538462,0.5172329411764706,0.3748211764705882,-0.9861538461538462,0.5172329411764706,0.3748211764705882,-0.9861538461538462,0.5172329411764706,0.3748211764705882,-0.9861538461538462,0.5172329411764706,0.3748211764705882,-0.9861538461538462,0.5172329545021057,0.3748211860656738,-0.4702699715629801,1.0,0.0,-0.9838461538461538,0.4997030198574066,0.4840767383575439
resnet18,relu,cifar10,2,-0.9830769230769232,0.4834952941176471,0.3636094117647059,-0.9830769230769232,0.4834952941176471,0.3636094117647059,-0.9830769230769232,0.4834952941176471,0.3636094117647059,-0.9830769230769232,0.4834952941176471,0.3636094117647059,-0.9830769230769232,0.4834952941176471,0.3636094117647059,-0.9830769230769232,0.48349529504776,0.3636094033718109,,0.0,0.0,-0.9830769230769232,0.4997275471687317,0.4810380041599273
resnet18,silu,cifar10,0,0.7789762609880782,0.998729411764706,0.9997164705882352,0.94,0.9956423529411764,0.9987011764705882,0.9715384615384616,0.9920223529411764,0.9973458823529412,0.9915384615384615,0.963415294117647,0.9865129411764706,0.9976923076923077,0.919070588235294,0.9699541176470589,-0.8538461538461539,0.5207597613334656,0.4753952920436859,-0.010769230769230769,0.5134692192077637,0.4829674065113067,-0.9976923076923077,0.2705004215240478,0.1667121350765228
