image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,0,48.9726459980011,1054.0573351337448,583.8313742194724,15.898972910498216,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.4461104204114356,600
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,1,48.230820655822754,1042.0137864941048,583.8313742194724,15.809510269651629,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.43970858947673297,600
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,2,49.3363254070282,1041.0269308341326,583.8313742194724,15.799828073803143,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.4391774536018275,600
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,3,47.98499655723572,1047.9954123247057,583.8313742194724,15.847335196394972,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.4429065553594418,600
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,4,48.13586664199829,1044.1137922879636,583.8313742194724,15.819406515660507,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.44083549270992356,600
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,5,47.70675015449524,1045.459266057331,583.8313742194724,15.831407428937919,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.44155512015189674,600
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,6,48.30491065979004,1040.7412746156372,583.8313742194724,15.806494046893375,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.43902352250314,600
64,64,identity_like,checkerboard,1.0,0.5,sigmoid,0.0,0.0,0.0,adam,random,7,47.185489892959595,1035.139103487118,583.8313742194724,15.761444553254268,11.356602710353533,0.14253695659655088,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.43598751872797165,600
64,64,identity_like,checkerboard,1.5,0.5,sigmoid,0.0,0.0,0.0,adam,random,0,50.00051546096802,1083.0043552904535,421.58615372920025,23.56081983493746,13.421828225632305,0.10292630706279303,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.6107253385734224,600
64,64,identity_like,checkerboard,1.5,0.5,sigmoid,0.0,0.0,0.0,adam,random,1,48.85256910324097,1065.4100746811278,421.58615372920025,23.37988765743838,13.421828225632305,0.10292630706279303,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.604296820775438,600
64,64,identity_like,checkerboard,1.5,0.5,sigmoid,0.0,0.0,0.0,adam,random,2,46.882211446762085,1064.1038869593856,421.58615372920025,23.359309086826087,13.421828225632305,0.10292630706279303,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.603811095048381,600
64,64,identity_like,checkerboard,1.5,0.5,sigmoid,0.0,0.0,0.0,adam,random,3,49.091724157333374,1074.5541878146726,421.58615372920025,23.454357532130654,13.421828225632305,0.10292630706279303,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.6076641285195838,600
64,64,identity_like,checkerboard,1.5,0.5,sigmoid,0.0,0.0,0.0,adam,random,4,49.913877964019775,1068.7131348756818,421.58615372920025,23.395583551349574,13.421828225632305,0.10292630706279303,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.6055198163366436,600
64,64,identity_like,checkerboard,1.5,0.5,sigmoid,0.0,0.0,0.0,adam,random,5,47.677547216415405,1070.5976896128063,421.58615372920025,23.42162316113587,13.421828225632305,0.10292630706279303,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.6062142130330286,600
64,64,identity_like,checkerboard,1.5,0.5,sigmoid,0.0,0.0,0.0,adam,random,6,47.726651191711426,1063.2351022058367,421.58615372920025,23.37760170409604,13.421828225632305,0.10292630706279303,1.0,1.0,100.0,0.9999999999960081,1.0,0.0,0.6034873633737654,600
