arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end
resnet18,gelu,adam,cifar10,0,25,0.7632162115269493,0.9830687887528364,0.99074168065015,-0.8045223910026787,52.42447942845962,50.2807565015905
resnet18,gelu,adam,cifar10,1,25,0.738083951720326,0.9825637901530546,0.9908533341744368,-0.7582774856505541,52.01569725485409,51.08003243278055
resnet18,gelu,adam,cifar10,2,25,0.764277216778485,0.982415893498589,0.9909986362737768,-0.8789754637873494,52.51812968534582,50.4207462422988
resnet18,gelu,adam,cifar100,0,25,0.5850932770432101,0.9835778685177072,0.9889166881056392,0.5542647654665392,49.43737478817211,55.05907238230986
resnet18,gelu,adam,cifar100,1,25,0.46970567138756053,0.9830263221965116,0.988989696783178,0.5903291931931537,48.769974876852594,55.22842564302332
resnet18,gelu,adam,cifar100,2,25,0.5151341662972988,0.9839980181525736,0.9892837720758776,0.5530646813560127,48.70782156551586,54.80061575945686
resnet18,mish,adam,cifar10,0,25,0.8059935096773396,0.9888230211594524,0.9945114465320812,-0.855437728000712,52.98553679971134,51.108056881848505
resnet18,mish,adam,cifar10,1,25,0.7964200896130667,0.9889667595134062,0.994387868572684,-0.8359410150128244,52.52889880012064,50.56346225738525
resnet18,mish,adam,cifar10,2,25,0.7773917417977309,0.9885468202478744,0.9943175140549156,-0.8512296443773557,52.77961809494917,50.73287175683414
resnet18,mish,adam,cifar100,0,25,0.5892766322527612,0.990412894417258,0.9927528185002944,0.20389592470509404,50.77287247601677,54.78920297061696
resnet18,mish,adam,cifar100,1,25,0.6609483996364945,0.9893035993856544,0.992558503852171,0.1030024537982239,52.01215564503389,54.99795016120462
resnet18,mish,adam,cifar100,2,25,0.6539046466580061,0.9909615937401268,0.992861099102918,0.3480619558364378,50.37420586978688,54.80378195818733
resnet18,relu,adam,cifar10,0,25,-0.7797631934852776,0.5220618966747733,0.3696437600780936,-0.8006730456544997,50.62404531591079,49.30739366306978
resnet18,relu,adam,cifar10,1,25,-0.7811784292376197,0.5245759364436654,0.3681165764437002,-0.8154128177417932,50.39245493271772,49.56615678001853
resnet18,relu,adam,cifar10,2,25,-0.7757784108158691,0.5217902309754315,0.3708347147878478,-0.7680932392987788,50.71373142915613,49.241280149011054
resnet18,relu,adam,cifar100,0,25,-0.7664599509972801,0.5248339369016535,0.3814315418986713,0.7025434836271074,48.50200428682215,54.66183471679688
resnet18,relu,adam,cifar100,1,25,-0.7304645162227485,0.5220564691459432,0.3785966288517503,0.7037108403254754,47.38751108506147,54.73616184907801
resnet18,relu,adam,cifar100,2,25,-0.7512983143610099,0.5202053469770095,0.3815688534694559,0.6545915917205691,48.32352806540096,53.78275411269244
resnet18,silu,adam,cifar10,0,25,0.7608060747929343,0.9893772041096408,0.9946043421240414,-0.8576084883100972,52.06507772557876,49.84335725447711
resnet18,silu,adam,cifar10,1,25,0.7451309201532579,0.988919173969942,0.9947959500200608,-0.8055393891343093,51.517193850348974,50.12160564871395
resnet18,silu,adam,cifar10,2,25,0.7458546490384528,0.9889902788050036,0.9946673231966356,-0.8682028622591559,52.24270585004021,49.8462134810055
resnet18,silu,adam,cifar100,0,25,0.5701149759224735,0.990823703653672,0.9937451516880708,0.47561287353635107,48.39785026101505,54.94915704166188
resnet18,silu,adam,cifar100,1,25,0.6196298827212666,0.9907012266271256,0.9937982944881216,0.3934098159814427,47.970323226031134,54.03444761388442
resnet18,silu,adam,cifar100,2,25,0.6313869063874985,0.9915543023277732,0.9937280767104204,0.47209798093619226,48.212198594037226,54.40244618584128
vgg11,gelu,adam,cifar10,0,25,0.8228341347319467,0.9733337826199002,0.9961701896455551,0.49813935227253753,38.22234058380127,41.17149448394776
vgg11,gelu,adam,cifar10,1,25,0.8203204210326897,0.9710375467936198,0.9963800774680244,0.5725706746769174,38.99955537584093,41.032965660095215
vgg11,gelu,adam,cifar10,2,25,0.8325744857718715,0.9736555947197808,0.9964339401986864,0.440899892670068,38.709030363294815,41.32457669576009
vgg11,gelu,adam,cifar100,0,25,0.8960485329028879,0.9791067971123588,0.9938588009940252,0.8120848304842454,36.03170394897461,49.278267754448784
vgg11,gelu,adam,cifar100,1,25,0.9069964656833657,0.9748655954996744,0.9941303067737156,0.8476287689097957,37.84354421827528,50.10719723171658
vgg11,gelu,adam,cifar100,2,25,0.8890442983820707,0.9781836403740776,0.9935142596562704,0.8149520850748567,36.30815505981445,50.25296995374892
vgg11,mish,adam,cifar10,0,25,0.8404350990288018,0.9924803839789496,0.9986157152387832,0.6822521030149385,38.10597642262777,42.10730531480577
vgg11,mish,adam,cifar10,1,25,0.8789433733831186,0.9928170310126412,0.9985739787419636,0.37389712863930047,39.57548798455132,42.109170065985786
vgg11,mish,adam,cifar10,2,25,0.8993918346548565,0.9930210113525392,0.998615927166409,0.5598777296235501,38.86669985453288,42.58768314785428
vgg11,mish,adam,cifar100,0,25,0.8054518904540368,0.9922954771253798,0.9972622063424852,0.8598997162456608,37.758958392673065,50.25061374240451
vgg11,mish,adam,cifar100,1,25,0.8370710592574898,0.9929289287990994,0.99762757619222,0.871306099997849,37.5261664920383,50.061720530192055
vgg11,mish,adam,cifar100,2,25,0.7405141669618555,0.9920201831393772,0.9972273111343384,0.8436781534686243,37.23054758707682,50.25110371907552
vgg11,relu,adam,cifar10,0,25,-0.7466468492049448,0.5644431942039065,0.3805312580532498,0.42195684359450253,37.41745927598741,40.58578575981988
vgg11,relu,adam,cifar10,1,25,-0.7426081066088303,0.5652478055821525,0.3798188815514247,0.46552820415756047,37.48264620039198,40.09512742360433
