parameter,estimate,crlb_std,ls_std,efficiency,cond_I,numerically_unreliable
IoU_max,1.0114111818514289,0.0010295707529872757,0.006213634886358239,0.1656954056389204,4032679.7975342297,True
IoU_min,0.7742746228884384,0.005111817314854061,0.00985991002356057,0.5184446209589347,4032679.7975342297,True
alpha_star,28.280076412885013,0.5744381853237756,1.0405170009283151,0.5520699659989031,4032679.7975342297,True
delta,7.573268750663475,0.33061254257243067,1.0345619344533785,0.3195676658518402,4032679.7975342297,True
