arch,activation,dataset,seed,n_epochs,r_active,r_rank,active_start,active_end,rank_start,rank_end
resnet18,gelu,cifar10,0,25,0.9969230769230769,0.8400000000000001,0.983545916921952,0.9932896214372972,46.2835059446447,56.74621783985811
resnet18,gelu,cifar10,1,25,0.9976923076923077,0.8453846153846154,0.9823510927312514,0.9934167791815364,49.68066697962144,56.64175257963293
resnet18,gelu,cifar10,2,25,0.9984615384615384,0.7738461538461539,0.9840595020967372,0.9936393289005055,46.83422627168543,56.37423077751608
resnet18,gelu,cifar100,0,25,0.6938461538461538,0.9907692307692307,0.986172293915468,0.9903343705569996,44.34234630360323,58.101762883803424
resnet18,gelu,cifar100,1,25,0.8638461538461538,0.9900000000000001,0.9826774562106412,0.9900910328416264,48.32785617603975,58.535576315487134
resnet18,gelu,cifar100,2,25,0.8638461538461538,0.9861538461538462,0.9845648933859432,0.9900079334483428,48.10211069443647,58.27896970861099
resnet18,mish,cifar10,0,25,0.9615384615384615,0.643076923076923,0.9919762471142936,0.9965166659916148,46.80662536621094,57.03429749432732
resnet18,mish,cifar10,1,25,0.9184615384615386,0.6000000000000001,0.9918932493995216,0.996878957047182,46.6440834718592,56.48146864947151
resnet18,mish,cifar10,2,25,0.8869230769230768,0.51,0.9924536592820112,0.9969656607683968,45.11645653668572,56.54726454790901
resnet18,mish,cifar100,0,25,0.25,0.9830769230769232,0.989743008333094,0.9941521111656638,50.21010185690487,58.38329741534065
resnet18,mish,cifar100,1,25,0.24,0.9700000000000001,0.9885500739602482,0.9938972802723156,52.88757862764246,58.51815190034754
resnet18,mish,cifar100,2,25,0.42153846153846153,0.9815384615384616,0.989250337376314,0.9939834791071276,52.88745700611788,58.80214040419634
resnet18,relu,cifar10,0,25,-0.9992307692307693,0.9953846153846154,0.5118375262793373,0.3713108634247499,41.10769294289982,55.15054321289063
resnet18,relu,cifar10,1,25,-0.9784615384615385,0.9876923076923078,0.5226002282956067,0.3640479585703681,39.66207010605756,55.17874033310834
resnet18,relu,cifar10,2,25,-0.9923076923076923,0.9684615384615385,0.497892232502208,0.3780669271945953,39.347947625552905,54.93982696533203
resnet18,relu,cifar100,0,25,-0.9961538461538462,0.9946153846153847,0.5301502609954161,0.3902437231119941,46.8406666026396,56.447050655589386
