arch,alpha,seed,layer_idx,n_layers,active_frac
resnet18,2.0,1,16,17,1.0
resnet18,5.0,1,0,17,0.9073295593261719
resnet18,5.0,1,1,17,0.9998435974121094
resnet18,5.0,1,2,17,1.0
resnet18,5.0,1,3,17,0.999176025390625
resnet18,5.0,1,4,17,1.0
resnet18,5.0,1,5,17,0.9997634887695312
resnet18,5.0,1,6,17,0.9990158081054688
resnet18,5.0,1,7,17,1.0
resnet18,5.0,1,8,17,1.0
resnet18,5.0,1,9,17,1.0
resnet18,5.0,1,10,17,1.0
resnet18,5.0,1,11,17,1.0
resnet18,5.0,1,12,17,1.0
resnet18,5.0,1,13,17,1.0
resnet18,5.0,1,14,17,1.0
resnet18,5.0,1,15,17,1.0
resnet18,5.0,1,16,17,1.0
resnet18,10.0,1,0,17,0.617950439453125
resnet18,10.0,1,1,17,0.8128890991210938
resnet18,10.0,1,2,17,0.9991989135742188
resnet18,10.0,1,3,17,0.8007545471191406
resnet18,10.0,1,4,17,0.998626708984375
resnet18,10.0,1,5,17,0.803314208984375
resnet18,10.0,1,6,17,0.7721481323242188
resnet18,10.0,1,7,17,0.9970245361328125
resnet18,10.0,1,8,17,1.0
resnet18,10.0,1,9,17,0.9960784912109375
resnet18,10.0,1,10,17,0.9927978515625
resnet18,10.0,1,11,17,1.0
resnet18,10.0,1,12,17,1.0
resnet18,10.0,1,13,17,1.0
resnet18,10.0,1,14,17,1.0
resnet18,10.0,1,15,17,1.0
resnet18,10.0,1,16,17,1.0
resnet18,20.0,1,0,17,0.3567008972167969
resnet18,20.0,1,1,17,0.30046844482421875
resnet18,20.0,1,2,17,0.12114334106445312
resnet18,20.0,1,3,17,0.30416107177734375
resnet18,20.0,1,4,17,0.06044769287109375
resnet18,20.0,1,5,17,0.3103790283203125
resnet18,20.0,1,6,17,0.29463958740234375
resnet18,20.0,1,7,17,0.05184173583984375
resnet18,20.0,1,8,17,0.042205810546875
resnet18,20.0,1,9,17,0.060302734375
resnet18,20.0,1,10,17,0.0558929443359375
resnet18,20.0,1,11,17,0.0
resnet18,20.0,1,12,17,7.62939453125e-05
resnet18,20.0,1,13,17,0.0
resnet18,20.0,1,14,17,0.0
resnet18,20.0,1,15,17,0.0
resnet18,20.0,1,16,17,0.0
resnet18,40.0,1,0,17,0.19647216796875
resnet18,40.0,1,1,17,0.10456466674804688
resnet18,40.0,1,2,17,0.02162933349609375
resnet18,40.0,1,3,17,0.10750579833984375
resnet18,40.0,1,4,17,0.002300262451171875
resnet18,40.0,1,5,17,0.1092987060546875
resnet18,40.0,1,6,17,0.1086578369140625
resnet18,40.0,1,7,17,0.00030517578125
resnet18,40.0,1,8,17,0.00882720947265625
resnet18,40.0,1,9,17,0.0006103515625
resnet18,40.0,1,10,17,0.002044677734375
resnet18,40.0,1,11,17,0.0
resnet18,40.0,1,12,17,0.0
resnet18,40.0,1,13,17,0.0
resnet18,40.0,1,14,17,0.0
resnet18,40.0,1,15,17,0.0
resnet18,40.0,1,16,17,0.0
resnet18,1.0,2,0,17,1.0
resnet18,1.0,2,1,17,1.0
resnet18,1.0,2,2,17,1.0
resnet18,1.0,2,3,17,1.0
resnet18,1.0,2,4,17,1.0
resnet18,1.0,2,5,17,1.0
resnet18,1.0,2,6,17,1.0
resnet18,1.0,2,7,17,1.0
resnet18,1.0,2,8,17,1.0
resnet18,1.0,2,9,17,1.0
resnet18,1.0,2,10,17,1.0
resnet18,1.0,2,11,17,1.0
resnet18,1.0,2,12,17,1.0
resnet18,1.0,2,13,17,1.0
resnet18,1.0,2,14,17,1.0
resnet18,1.0,2,15,17,1.0
resnet18,1.0,2,16,17,1.0
resnet18,2.0,2,0,17,0.999847412109375
resnet18,2.0,2,1,17,1.0
resnet18,2.0,2,2,17,1.0
resnet18,2.0,2,3,17,1.0
resnet18,2.0,2,4,17,1.0
resnet18,2.0,2,5,17,1.0
resnet18,2.0,2,6,17,1.0
resnet18,2.0,2,7,17,1.0
resnet18,2.0,2,8,17,1.0
resnet18,2.0,2,9,17,1.0
resnet18,2.0,2,10,17,1.0
resnet18,2.0,2,11,17,1.0
resnet18,2.0,2,12,17,1.0
resnet18,2.0,2,13,17,1.0
resnet18,2.0,2,14,17,1.0
resnet18,2.0,2,15,17,1.0
resnet18,2.0,2,16,17,1.0
resnet18,5.0,2,0,17,0.9073638916015625
resnet18,5.0,2,1,17,0.99993896484375
resnet18,5.0,2,2,17,1.0
resnet18,5.0,2,3,17,0.9993438720703125
resnet18,5.0,2,4,17,1.0
resnet18,5.0,2,5,17,0.9998703002929688
resnet18,5.0,2,6,17,0.9995498657226562
resnet18,5.0,2,7,17,1.0
resnet18,5.0,2,8,17,1.0
resnet18,5.0,2,9,17,1.0
resnet18,5.0,2,10,17,1.0
resnet18,5.0,2,11,17,1.0
resnet18,5.0,2,12,17,1.0
resnet18,5.0,2,13,17,1.0
resnet18,5.0,2,14,17,1.0
resnet18,5.0,2,15,17,1.0
resnet18,5.0,2,16,17,1.0
resnet18,10.0,2,0,17,0.6178359985351562
resnet18,10.0,2,1,17,0.8213691711425781
resnet18,10.0,2,2,17,0.9980278015136719
resnet18,10.0,2,3,17,0.7849159240722656
resnet18,10.0,2,4,17,0.9973182678222656
resnet18,10.0,2,5,17,0.8076019287109375
resnet18,10.0,2,6,17,0.7807540893554688
resnet18,10.0,2,7,17,0.9915237426757812
resnet18,10.0,2,8,17,1.0
resnet18,10.0,2,9,17,0.994537353515625
resnet18,10.0,2,10,17,0.988067626953125
resnet18,10.0,2,11,17,1.0
resnet18,10.0,2,12,17,1.0
resnet18,10.0,2,13,17,1.0
resnet18,10.0,2,14,17,1.0
resnet18,10.0,2,15,17,1.0
resnet18,10.0,2,16,17,1.0
resnet18,20.0,2,0,17,0.3565521240234375
resnet18,20.0,2,1,17,0.2995185852050781
resnet18,20.0,2,2,17,0.1271514892578125
resnet18,20.0,2,3,17,0.2987403869628906
resnet18,20.0,2,4,17,0.06824111938476562
resnet18,20.0,2,5,17,0.317962646484375
resnet18,20.0,2,6,17,0.3083953857421875
resnet18,20.0,2,7,17,0.059661865234375
resnet18,20.0,2,8,17,0.04569244384765625
resnet18,20.0,2,9,17,0.0757293701171875
resnet18,20.0,2,10,17,0.07318115234375
resnet18,20.0,2,11,17,0.0
resnet18,20.0,2,12,17,0.00030517578125
resnet18,20.0,2,13,17,0.0
resnet18,20.0,2,14,17,0.0
resnet18,20.0,2,15,17,0.0
resnet18,20.0,2,16,17,0.0
resnet18,40.0,2,0,17,0.19551467895507812
resnet18,40.0,2,1,17,0.106048583984375
resnet18,40.0,2,2,17,0.021663665771484375
resnet18,40.0,2,3,17,0.10704803466796875
resnet18,40.0,2,4,17,0.00254058837890625
resnet18,40.0,2,5,17,0.115570068359375
resnet18,40.0,2,6,17,0.117523193359375
resnet18,40.0,2,7,17,0.000579833984375
resnet18,40.0,2,8,17,0.010345458984375
resnet18,40.0,2,9,17,0.001190185546875
resnet18,40.0,2,10,17,0.00384521484375
resnet18,40.0,2,11,17,0.0
resnet18,40.0,2,12,17,3.0517578125e-05
resnet18,40.0,2,13,17,0.0
resnet18,40.0,2,14,17,0.0
resnet18,40.0,2,15,17,0.0
resnet18,40.0,2,16,17,0.0
resnet18,1.0,3,0,17,1.0
resnet18,1.0,3,1,17,1.0
resnet18,1.0,3,2,17,1.0
resnet18,1.0,3,3,17,1.0
resnet18,1.0,3,4,17,1.0
resnet18,1.0,3,5,17,1.0
resnet18,1.0,3,6,17,1.0
resnet18,1.0,3,7,17,1.0
resnet18,1.0,3,8,17,1.0
resnet18,1.0,3,9,17,1.0
resnet18,1.0,3,10,17,1.0
resnet18,1.0,3,11,17,1.0
resnet18,1.0,3,12,17,1.0
resnet18,1.0,3,13,17,1.0
resnet18,1.0,3,14,17,1.0
resnet18,1.0,3,15,17,1.0
resnet18,1.0,3,16,17,1.0
resnet18,2.0,3,0,17,0.9998931884765625
resnet18,2.0,3,1,17,1.0
resnet18,2.0,3,2,17,1.0
resnet18,2.0,3,3,17,1.0
resnet18,2.0,3,4,17,1.0
resnet18,2.0,3,5,17,1.0
resnet18,2.0,3,6,17,1.0
resnet18,2.0,3,7,17,1.0
resnet18,2.0,3,8,17,1.0
resnet18,2.0,3,9,17,1.0
resnet18,2.0,3,10,17,1.0
resnet18,2.0,3,11,17,1.0
resnet18,2.0,3,12,17,1.0
resnet18,2.0,3,13,17,1.0
resnet18,2.0,3,14,17,1.0
resnet18,2.0,3,15,17,1.0
resnet18,2.0,3,16,17,1.0
resnet18,5.0,3,0,17,0.9068069458007812
resnet18,5.0,3,1,17,0.9996681213378906
resnet18,5.0,3,2,17,1.0
resnet18,5.0,3,3,17,0.9994888305664062
resnet18,5.0,3,4,17,1.0
resnet18,5.0,3,5,17,0.99981689453125
resnet18,5.0,3,6,17,0.9994354248046875
resnet18,5.0,3,7,17,1.0
resnet18,5.0,3,8,17,1.0
resnet18,5.0,3,9,17,1.0
resnet18,5.0,3,10,17,1.0
resnet18,5.0,3,11,17,1.0
resnet18,5.0,3,12,17,1.0
resnet18,5.0,3,13,17,1.0
resnet18,5.0,3,14,17,1.0
resnet18,5.0,3,15,17,1.0
resnet18,5.0,3,16,17,1.0
resnet18,10.0,3,0,17,0.6190910339355469
resnet18,10.0,3,1,17,0.8123054504394531
resnet18,10.0,3,2,17,0.9990730285644531
resnet18,10.0,3,3,17,0.7940902709960938
resnet18,10.0,3,4,17,0.9987258911132812
resnet18,10.0,3,5,17,0.79010009765625
resnet18,10.0,3,6,17,0.7817001342773438
resnet18,10.0,3,7,17,0.9924545288085938
resnet18,10.0,3,8,17,1.0
resnet18,10.0,3,9,17,0.991363525390625
resnet18,10.0,3,10,17,0.9862213134765625
resnet18,10.0,3,11,17,1.0
resnet18,10.0,3,12,17,1.0
resnet18,10.0,3,13,17,1.0
resnet18,10.0,3,14,17,1.0
resnet18,10.0,3,15,17,1.0
resnet18,10.0,3,16,17,1.0
resnet18,20.0,3,0,17,0.3566169738769531
resnet18,20.0,3,1,17,0.2891082763671875
resnet18,20.0,3,2,17,0.11950302124023438
resnet18,20.0,3,3,17,0.30252838134765625
resnet18,20.0,3,4,17,0.06301116943359375
resnet18,20.0,3,5,17,0.30011749267578125
resnet18,20.0,3,6,17,0.31760406494140625
resnet18,20.0,3,7,17,0.08220672607421875
resnet18,20.0,3,8,17,0.04950714111328125
resnet18,20.0,3,9,17,0.086517333984375
resnet18,20.0,3,10,17,0.0853118896484375
resnet18,20.0,3,11,17,0.0
resnet18,20.0,3,12,17,0.000274658203125
resnet18,20.0,3,13,17,0.0
resnet18,20.0,3,14,17,0.0
resnet18,20.0,3,15,17,0.0
resnet18,20.0,3,16,17,0.0
resnet18,40.0,3,0,17,0.19626998901367188
resnet18,40.0,3,1,17,0.0977325439453125
resnet18,40.0,3,2,17,0.021759033203125
resnet18,40.0,3,3,17,0.10899734497070312
resnet18,40.0,3,4,17,0.00257110595703125
resnet18,40.0,3,5,17,0.10758209228515625
resnet18,40.0,3,6,17,0.12403106689453125
resnet18,40.0,3,7,17,0.0012054443359375
resnet18,40.0,3,8,17,0.01039886474609375
resnet18,40.0,3,9,17,0.00152587890625
resnet18,40.0,3,10,17,0.0042572021484375
resnet18,40.0,3,11,17,0.0
resnet18,40.0,3,12,17,3.0517578125e-05
resnet18,40.0,3,13,17,0.0
resnet18,40.0,3,14,17,0.0
resnet18,40.0,3,15,17,0.0
resnet18,40.0,3,16,17,0.0
resnet18,1.0,4,0,17,1.0
resnet18,1.0,4,1,17,1.0
resnet18,1.0,4,2,17,1.0
resnet18,1.0,4,3,17,1.0
resnet18,1.0,4,4,17,1.0
resnet18,1.0,4,5,17,1.0
resnet18,1.0,4,6,17,1.0
resnet18,1.0,4,7,17,1.0
resnet18,1.0,4,8,17,1.0
resnet18,1.0,4,9,17,1.0
resnet18,1.0,4,10,17,1.0
resnet18,1.0,4,11,17,1.0
resnet18,1.0,4,12,17,1.0
resnet18,1.0,4,13,17,1.0
resnet18,1.0,4,14,17,1.0
resnet18,1.0,4,15,17,1.0
resnet18,1.0,4,16,17,1.0
resnet18,2.0,4,0,17,0.9999008178710938
resnet18,2.0,4,1,17,1.0
resnet18,2.0,4,2,17,1.0
resnet18,2.0,4,3,17,1.0
resnet18,2.0,4,4,17,1.0
resnet18,2.0,4,5,17,1.0
resnet18,2.0,4,6,17,1.0
resnet18,2.0,4,7,17,1.0
resnet18,2.0,4,8,17,1.0
resnet18,2.0,4,9,17,1.0
resnet18,2.0,4,10,17,1.0
resnet18,2.0,4,11,17,1.0
resnet18,2.0,4,12,17,1.0
resnet18,2.0,4,13,17,1.0
resnet18,2.0,4,14,17,1.0
resnet18,2.0,4,15,17,1.0
resnet18,2.0,4,16,17,1.0
resnet18,5.0,4,0,17,0.9091300964355469
resnet18,5.0,4,1,17,0.999725341796875
resnet18,5.0,4,2,17,1.0
resnet18,5.0,4,3,17,0.9999122619628906
resnet18,5.0,4,4,17,1.0
resnet18,5.0,4,5,17,0.9998092651367188
resnet18,5.0,4,6,17,0.99920654296875
resnet18,5.0,4,7,17,1.0
resnet18,5.0,4,8,17,1.0
resnet18,5.0,4,9,17,1.0
resnet18,5.0,4,10,17,1.0
resnet18,5.0,4,11,17,1.0
resnet18,5.0,4,12,17,1.0
resnet18,5.0,4,13,17,1.0
resnet18,5.0,4,14,17,1.0
resnet18,5.0,4,15,17,1.0
resnet18,5.0,4,16,17,1.0
resnet18,10.0,4,0,17,0.62042236328125
resnet18,10.0,4,1,17,0.7950515747070312
resnet18,10.0,4,2,17,0.9995765686035156
resnet18,10.0,4,3,17,0.7995109558105469
resnet18,10.0,4,4,17,0.9985923767089844
resnet18,10.0,4,5,17,0.8130111694335938
resnet18,10.0,4,6,17,0.792724609375
resnet18,10.0,4,7,17,0.9923477172851562
resnet18,10.0,4,8,17,1.0
resnet18,10.0,4,9,17,0.9925537109375
resnet18,10.0,4,10,17,0.9877471923828125
resnet18,10.0,4,11,17,1.0
resnet18,10.0,4,12,17,1.0
resnet18,10.0,4,13,17,1.0
resnet18,10.0,4,14,17,1.0
resnet18,10.0,4,15,17,1.0
resnet18,10.0,4,16,17,1.0
resnet18,20.0,4,0,17,0.35575103759765625
resnet18,20.0,4,1,17,0.2738800048828125
resnet18,20.0,4,2,17,0.1199493408203125
resnet18,20.0,4,3,17,0.2928428649902344
resnet18,20.0,4,4,17,0.05899810791015625
resnet18,20.0,4,5,17,0.32894134521484375
resnet18,20.0,4,6,17,0.31656646728515625
resnet18,20.0,4,7,17,0.05524444580078125
resnet18,20.0,4,8,17,0.04694366455078125
resnet18,20.0,4,9,17,0.079833984375
resnet18,20.0,4,10,17,0.0811614990234375
resnet18,20.0,4,11,17,0.0
resnet18,20.0,4,12,17,0.0001678466796875
resnet18,20.0,4,13,17,0.0
resnet18,20.0,4,14,17,0.0
resnet18,20.0,4,15,17,0.0
resnet18,20.0,4,16,17,0.0
resnet18,40.0,4,0,17,0.19671249389648438
resnet18,40.0,4,1,17,0.09280014038085938
resnet18,40.0,4,2,17,0.02172088623046875
resnet18,40.0,4,3,17,0.10171890258789062
resnet18,40.0,4,4,17,0.00251007080078125
resnet18,40.0,4,5,17,0.12215423583984375
resnet18,40.0,4,6,17,0.12056732177734375
resnet18,40.0,4,7,17,0.00054168701171875
resnet18,40.0,4,8,17,0.010040283203125
resnet18,40.0,4,9,17,0.0016632080078125
resnet18,40.0,4,10,17,0.0040283203125
resnet18,40.0,4,11,17,0.0
resnet18,40.0,4,12,17,0.0
resnet18,40.0,4,13,17,0.0
resnet18,40.0,4,14,17,0.0
resnet18,40.0,4,15,17,0.0
resnet18,40.0,4,16,17,0.0
resnet18,1.0,5,0,17,1.0
resnet18,1.0,5,1,17,1.0
resnet18,1.0,5,2,17,1.0
resnet18,1.0,5,3,17,1.0
resnet18,1.0,5,4,17,1.0
resnet18,1.0,5,5,17,1.0
resnet18,1.0,5,6,17,1.0
resnet18,1.0,5,7,17,1.0
resnet18,1.0,5,8,17,1.0
resnet18,1.0,5,9,17,1.0
resnet18,1.0,5,10,17,1.0
resnet18,1.0,5,11,17,1.0
resnet18,1.0,5,12,17,1.0
resnet18,1.0,5,13,17,1.0
resnet18,1.0,5,14,17,1.0
resnet18,1.0,5,15,17,1.0
resnet18,1.0,5,16,17,1.0
resnet18,2.0,5,0,17,0.9998703002929688
resnet18,2.0,5,1,17,1.0
resnet18,2.0,5,2,17,1.0
resnet18,2.0,5,3,17,1.0
resnet18,2.0,5,4,17,1.0
resnet18,2.0,5,5,17,1.0
resnet18,2.0,5,6,17,1.0
resnet18,2.0,5,7,17,1.0
resnet18,2.0,5,8,17,1.0
resnet18,2.0,5,9,17,1.0
resnet18,2.0,5,10,17,1.0
resnet18,2.0,5,11,17,1.0
resnet18,2.0,5,12,17,1.0
resnet18,2.0,5,13,17,1.0
resnet18,2.0,5,14,17,1.0
resnet18,2.0,5,15,17,1.0
resnet18,2.0,5,16,17,1.0
resnet18,5.0,5,0,17,0.9046897888183594
resnet18,5.0,5,1,17,0.99981689453125
resnet18,5.0,5,2,17,1.0
resnet18,5.0,5,3,17,0.9999046325683594
resnet18,5.0,5,4,17,1.0
resnet18,5.0,5,5,17,0.9995651245117188
resnet18,5.0,5,6,17,0.9991302490234375
resnet18,5.0,5,7,17,1.0
resnet18,5.0,5,8,17,1.0
resnet18,5.0,5,9,17,1.0
resnet18,5.0,5,10,17,1.0
resnet18,5.0,5,11,17,1.0
resnet18,5.0,5,12,17,1.0
resnet18,5.0,5,13,17,1.0
resnet18,5.0,5,14,17,1.0
resnet18,5.0,5,15,17,1.0
resnet18,5.0,5,16,17,1.0
resnet18,10.0,5,0,17,0.6139144897460938
resnet18,10.0,5,1,17,0.8174629211425781
resnet18,10.0,5,2,17,0.9994087219238281
resnet18,10.0,5,3,17,0.7884864807128906
resnet18,10.0,5,4,17,0.9980850219726562
resnet18,10.0,5,5,17,0.8012924194335938
resnet18,10.0,5,6,17,0.771148681640625
resnet18,10.0,5,7,17,0.9935226440429688
resnet18,10.0,5,8,17,1.0
resnet18,10.0,5,9,17,0.99456787109375
resnet18,10.0,5,10,17,0.9888916015625
resnet18,10.0,5,11,17,1.0
resnet18,10.0,5,12,17,1.0
resnet18,10.0,5,13,17,1.0
resnet18,10.0,5,14,17,1.0
resnet18,10.0,5,15,17,1.0
resnet18,10.0,5,16,17,1.0
resnet18,20.0,5,0,17,0.35279083251953125
resnet18,20.0,5,1,17,0.2911796569824219
resnet18,20.0,5,2,17,0.12034988403320312
resnet18,20.0,5,3,17,0.2917938232421875
resnet18,20.0,5,4,17,0.062591552734375
resnet18,20.0,5,5,17,0.3194732666015625
resnet18,20.0,5,6,17,0.29620361328125
resnet18,20.0,5,7,17,0.05225372314453125
resnet18,20.0,5,8,17,0.042022705078125
resnet18,20.0,5,9,17,0.0739593505859375
resnet18,20.0,5,10,17,0.0726165771484375
resnet18,20.0,5,11,17,0.0
resnet18,20.0,5,12,17,0.000213623046875
resnet18,20.0,5,13,17,0.0
resnet18,20.0,5,14,17,0.0
resnet18,20.0,5,15,17,0.0
resnet18,20.0,5,16,17,0.0
resnet18,40.0,5,0,17,0.19444656372070312
resnet18,40.0,5,1,17,0.09910964965820312
resnet18,40.0,5,2,17,0.021297454833984375
resnet18,40.0,5,3,17,0.10385894775390625
resnet18,40.0,5,4,17,0.002696990966796875
resnet18,40.0,5,5,17,0.117279052734375
resnet18,40.0,5,6,17,0.10897064208984375
resnet18,40.0,5,7,17,0.000457763671875
resnet18,40.0,5,8,17,0.00908660888671875
resnet18,40.0,5,9,17,0.0010223388671875
resnet18,40.0,5,10,17,0.003509521484375
resnet18,40.0,5,11,17,0.0
resnet18,40.0,5,12,17,1.52587890625e-05
resnet18,40.0,5,13,17,0.0
resnet18,40.0,5,14,17,0.0
resnet18,40.0,5,15,17,0.0
resnet18,40.0,5,16,17,0.0
resnet18,1.0,6,0,17,1.0
resnet18,1.0,6,1,17,1.0
resnet18,1.0,6,2,17,1.0
resnet18,1.0,6,3,17,1.0
resnet18,1.0,6,4,17,1.0
resnet18,1.0,6,5,17,1.0
resnet18,1.0,6,6,17,1.0
resnet18,1.0,6,7,17,1.0
resnet18,1.0,6,8,17,1.0
resnet18,1.0,6,9,17,1.0
resnet18,1.0,6,10,17,1.0
resnet18,1.0,6,11,17,1.0
resnet18,1.0,6,12,17,1.0
resnet18,1.0,6,13,17,1.0
resnet18,1.0,6,14,17,1.0
resnet18,1.0,6,15,17,1.0
resnet18,1.0,6,16,17,1.0
resnet18,2.0,6,0,17,0.9998359680175781
resnet18,2.0,6,1,17,1.0
resnet18,2.0,6,2,17,1.0
resnet18,2.0,6,3,17,1.0
resnet18,2.0,6,4,17,1.0
resnet18,2.0,6,5,17,1.0
resnet18,2.0,6,6,17,1.0
resnet18,2.0,6,7,17,1.0
resnet18,2.0,6,8,17,1.0
resnet18,2.0,6,9,17,1.0
resnet18,2.0,6,10,17,1.0
resnet18,2.0,6,11,17,1.0
resnet18,2.0,6,12,17,1.0
resnet18,2.0,6,13,17,1.0
resnet18,2.0,6,14,17,1.0
resnet18,2.0,6,15,17,1.0
resnet18,2.0,6,16,17,1.0
resnet18,5.0,6,0,17,0.9067230224609375
resnet18,5.0,6,1,17,0.9997749328613281
resnet18,5.0,6,2,17,1.0
resnet18,5.0,6,3,17,0.9999008178710938
resnet18,5.0,6,4,17,1.0
resnet18,5.0,6,5,17,0.99969482421875
resnet18,5.0,6,6,17,0.9986419677734375
resnet18,5.0,6,7,17,1.0
resnet18,5.0,6,8,17,1.0
resnet18,5.0,6,9,17,1.0
resnet18,5.0,6,10,17,1.0
resnet18,5.0,6,11,17,1.0
resnet18,5.0,6,12,17,1.0
resnet18,5.0,6,13,17,1.0
resnet18,5.0,6,14,17,1.0
resnet18,5.0,6,15,17,1.0
resnet18,5.0,6,16,17,1.0
resnet18,10.0,6,0,17,0.6170387268066406
resnet18,10.0,6,1,17,0.8130455017089844
resnet18,10.0,6,2,17,0.9968414306640625
resnet18,10.0,6,3,17,0.790252685546875
resnet18,10.0,6,4,17,0.9989776611328125
resnet18,10.0,6,5,17,0.806732177734375
resnet18,10.0,6,6,17,0.7808074951171875
resnet18,10.0,6,7,17,0.9930419921875
