arch,seed,layer_idx,n_layers,layer_name,active_frac,gate_mean,grad_norm,grad_sparsity,grad_entropy,effective_rank,stable_rank
resnet18,0,0,9,relu,0.9933881759643555,0.9933881759643555,0.6866207122802734,0.8527946472167969,,7.588887691497803,2.411400318145752
resnet18,0,1,9,layer1.0.relu,0.4951324462890625,0.4951324462890625,0.6030260324478149,0.0602874755859375,11.435933113098145,6.272260665893555,1.3186187744140625
resnet18,0,2,9,layer1.1.relu,0.5013504028320312,0.5013504028320312,0.40649691224098206,0.06108856201171875,11.437817573547363,6.527533531188965,1.3978034257888794
resnet18,0,3,9,layer2.0.relu,0.5004119873046875,0.5004119873046875,0.3704393208026886,0.057708740234375,10.766339302062988,7.458658218383789,2.1432247161865234
resnet18,0,4,9,layer2.1.relu,0.501190185546875,0.501190185546875,0.27913936972618103,0.050201416015625,10.76517105102539,7.189209938049316,1.8048344850540161
resnet18,0,5,9,layer3.0.relu,0.503021240234375,0.503021240234375,0.22412480413913727,0.042724609375,10.092409133911133,7.426831245422363,2.100853204727173
resnet18,0,6,9,layer3.1.relu,0.500213623046875,0.500213623046875,0.17613179981708527,0.04351806640625,10.094090461730957,7.1788554191589355,1.7851537466049194
resnet18,0,7,9,layer4.0.relu,0.4976806640625,0.4976806640625,0.14199234545230865,0.0318603515625,9.42099380493164,7.379271030426025,2.0348219871520996
resnet18,0,8,9,layer4.1.relu,0.49615478515625,0.49615478515625,0.11709286272525787,0.03314208984375,9.415964126586914,7.137185096740723,1.749361276626587
resnet18,1,0,9,relu,0.9931854009628296,0.9931854009628296,0.720329761505127,0.8502769470214844,,7.628173351287842,2.524627208709717
resnet18,1,1,9,layer1.0.relu,0.49849700927734375,0.49849700927734375,0.634530246257782,0.05504608154296875,11.435565948486328,6.320601463317871,1.331449270248413
resnet18,1,2,9,layer1.1.relu,0.499908447265625,0.499908447265625,0.43454089760780334,0.0608062744140625,11.435808181762695,6.517983913421631,1.3937270641326904
resnet18,1,3,9,layer2.0.relu,0.4984130859375,0.4984130859375,0.3942832052707672,0.045928955078125,10.764448165893555,7.3440327644348145,1.9757678508758545
resnet18,1,4,9,layer2.1.relu,0.501739501953125,0.501739501953125,0.2944309413433075,0.055206298828125,10.765336036682129,7.176163673400879,1.7817717790603638
resnet18,1,5,9,layer3.0.relu,0.499847412109375,0.499847412109375,0.23582325875759125,0.046600341796875,10.094141006469727,7.3813934326171875,2.0439231395721436
resnet18,1,6,9,layer3.1.relu,0.50018310546875,0.50018310546875,0.18945977091789246,0.04876708984375,10.093452453613281,7.158698558807373,1.75974702835083
resnet18,1,7,9,layer4.0.relu,0.501953125,0.501953125,0.15674462914466858,0.0321044921875,9.419028282165527,7.402923107147217,2.0461559295654297
resnet18,1,8,9,layer4.1.relu,0.50494384765625,0.50494384765625,0.1257811039686203,0.03155517578125,9.419772148132324,7.123906135559082,1.7277787923812866
resnet18,2,0,9,relu,0.9935970902442932,0.9935970902442932,0.7313894629478455,0.8509674072265625,,7.607891082763672,2.462674379348755
resnet18,2,1,9,layer1.0.relu,0.5002593994140625,0.5002593994140625,0.6441441774368286,0.06510162353515625,11.433107376098633,6.225817680358887,1.3055319786071777
resnet18,2,2,9,layer1.1.relu,0.5001907348632812,0.5001907348632812,0.45024165511131287,0.06029510498046875,11.434389114379883,6.566040992736816,1.4119700193405151
resnet18,2,3,9,layer2.0.relu,0.4987030029296875,0.4987030029296875,0.399354487657547,0.0462493896484375,10.765718460083008,7.3479437828063965,1.9689037799835205
resnet18,2,4,9,layer2.1.relu,0.4997406005859375,0.4997406005859375,0.3024631440639496,0.0543365478515625,10.764067649841309,7.187521934509277,1.7919429540634155
resnet18,2,5,9,layer3.0.relu,0.49822998046875,0.49822998046875,0.2428666055202484,0.042510986328125,10.093908309936523,7.41400146484375,2.0729176998138428
resnet18,2,6,9,layer3.1.relu,0.49871826171875,0.49871826171875,0.19125498831272125,0.0467529296875,10.095718383789062,7.149170875549316,1.7562366724014282
resnet18,2,7,9,layer4.0.relu,0.50323486328125,0.50323486328125,0.1525375097990036,0.03668212890625,9.413938522338867,7.489079475402832,2.1794228553771973
resnet18,2,8,9,layer4.1.relu,0.49749755859375,0.49749755859375,0.1240990161895752,0.0345458984375,9.416532516479492,7.142674446105957,1.7463757991790771
resnet50,0,0,17,relu,0.9943587183952332,0.9943587183952332,20.810096740722656,0.8533401489257812,,7.632463455200195,2.509047746658325
resnet50,0,1,17,layer1.0.relu,0.5003433227539062,0.5003433227539062,15.016599655151367,0.0605621337890625,11.435222625732422,7.5682783126831055,2.375715494155884
resnet50,0,2,17,layer1.1.relu,0.4978790283203125,0.4978790283203125,9.808276176452637,0.0570526123046875,11.44034194946289,7.35388708114624,1.9724994897842407
resnet50,0,3,17,layer1.2.relu,0.5009307861328125,0.5009307861328125,6.736920356750488,0.065032958984375,11.437837600708008,7.289401054382324,1.9000173807144165
resnet50,0,4,17,layer2.0.relu,0.4975433349609375,0.4975433349609375,5.237499713897705,0.07901763916015625,12.10847282409668,7.5685505867004395,2.370518922805786
resnet50,0,5,17,layer2.1.relu,0.5010833740234375,0.5010833740234375,3.5693066120147705,0.0582427978515625,10.765308380126953,7.344385147094727,1.9728723764419556
resnet50,0,6,17,layer2.2.relu,0.498260498046875,0.498260498046875,2.4344913959503174,0.0529327392578125,10.76867389678955,7.267580032348633,1.869545578956604
resnet50,0,7,17,layer2.3.relu,0.499176025390625,0.499176025390625,1.7199172973632812,0.061737060546875,10.76755142211914,7.153099060058594,1.7536470890045166
resnet50,0,8,17,layer3.0.relu,0.5013809204101562,0.5013809204101562,1.5269734859466553,0.07260894775390625,11.436132431030273,7.521858215332031,2.280597448348999
resnet50,0,9,17,layer3.1.relu,0.498199462890625,0.498199462890625,1.043807864189148,0.044921875,10.09029769897461,7.309412002563477,1.9259886741638184
