arch,dataset,seed,epoch,test_loss,test_acc,lr,epoch_time,mean_active_frac,min_active_frac,mean_effective_rank,mean_stable_rank,n_layers_measured,n_layers_total
resnet18,cifar10,0,0,1.497333798980713,0.4392,0.0996057350657239,39.615195989608765,0.5118375262793373,0.323089599609375,41.10769294289982,2.4138940011753753,17,17
resnet18,cifar10,0,1,1.3278732536315918,0.5132,0.09842915805643156,15.398905515670776,0.5065571998848635,0.330963134765625,46.186192007625806,2.43906727959128,17,17
resnet18,cifar10,0,2,1.1281313270568847,0.6098,0.09648882429441258,15.36704158782959,0.49647299331777234,0.33731842041015625,49.73509642657112,2.555829132304472,17,17
resnet18,cifar10,0,3,1.0846084645271301,0.6189,0.09381533400219319,15.080033302307129,0.4830194641562069,0.33249473571777344,51.40285806094899,2.625280120793511,17,17
resnet18,cifar10,0,4,0.843235639667511,0.7135,0.0904508497187474,15.1256263256073,0.47009844113798704,0.34702491760253906,52.852540857651654,2.72987998233122,17,17
resnet18,cifar10,0,5,0.8603206137657166,0.7099,0.0864484313710706,15.224076986312866,0.4536900520324707,0.3436446189880371,53.621354271383844,2.8770321677712833,17,17
resnet18,cifar10,0,6,0.6899965500831604,0.7677,0.0818711994874345,15.233696222305298,0.43308523472617655,0.3237037658691406,53.7830909280216,3.019896479213939,17,17
resnet18,cifar10,0,7,0.7143724921226502,0.7515,0.07679133974894983,15.130974531173706,0.421899173189612,0.30048036575317383,54.192608552820545,3.107674142893623,17,17
resnet18,cifar10,0,8,0.5840461000442505,0.7996,0.07128896457825364,15.405940532684326,0.4041263636420755,0.2771110534667969,54.41634279138901,3.2414914579952465,17,17
resnet18,cifar10,0,9,0.6821827248573303,0.7824,0.06545084971874737,15.40386700630188,0.39698293805122375,0.2659330368041992,54.38888908835018,3.3083832824931427,17,17
resnet18,cifar10,0,10,0.5326313755989075,0.8185,0.05936906572928624,15.39266562461853,0.3959716944133534,0.24949193000793457,54.50887433220358,3.331524273928474,17,17
resnet18,cifar10,0,11,0.48218631525039674,0.8348,0.05313952597646568,15.38611626625061,0.3892154342987958,0.2378063201904297,54.468385359820196,3.406556017258588,17,17
resnet18,cifar10,0,12,0.5302585149526596,0.8227,0.04686047402353434,15.389505386352539,0.38654033752048716,0.22745513916015625,54.52119692634134,3.4385861719355866,17,17
resnet18,cifar10,0,13,0.4342204576730728,0.8501,0.04063093427071378,15.419079780578613,0.38195322541629567,0.22071361541748047,54.63848181331859,3.5065787189147053,17,17
resnet18,cifar10,0,14,0.4974916774749756,0.8367,0.03454915028125265,15.42976975440979,0.37945278953103456,0.2128297984600067,54.777445176068476,3.549166307729833,17,17
resnet18,cifar10,0,15,0.39066667687892914,0.8698,0.02871103542174637,15.3726224899292,0.38002058162408714,0.21044540405273438,54.73199238496668,3.572426852057962,17,17
resnet18,cifar10,0,16,0.3477284271359444,0.8836,0.02320866025105016,15.424061059951782,0.3774774644304724,0.208415225148201,54.81247150196749,3.584961968309739,17,17
resnet18,cifar10,0,17,0.3442954152107239,0.8833,0.018128800512565515,15.274322509765625,0.37443499530062957,0.20163726806640625,54.85516761330997,3.599851636325612,17,17
resnet18,cifar10,0,18,0.31355912294387817,0.8983,0.013551568628929436,15.209373712539673,0.37336043399922986,0.19550704956054688,54.90918843886431,3.6804516806321987,17,17
resnet18,cifar10,0,19,0.2865806600570679,0.9086,0.009549150281252635,15.068350076675415,0.3726525832624996,0.1921215057373047,54.97168058507583,3.6681582366718963,17,17
resnet18,cifar10,0,20,0.27752446846961976,0.91,0.006184665997806822,15.16820764541626,0.37236643714063306,0.18563079833984375,55.00523713055779,3.7352015621521892,17,17
resnet18,cifar10,0,21,0.2565973234891891,0.9177,0.003511175705587433,15.022582054138184,0.37204433539334464,0.18255615234375,55.02258861766142,3.755706506616929,17,17
resnet18,cifar10,0,22,0.2426596271634102,0.9216,0.001570841943568452,15.109249591827393,0.3714243576807134,0.18036651611328125,55.29792022705078,3.844796089565053,17,17
resnet18,cifar10,0,23,0.2388437176823616,0.9228,0.00039426493427611184,15.030500888824463,0.37134746242971983,0.17943572998046875,55.059355567483344,3.8251814701977898,17,17
resnet18,cifar10,0,24,0.23741466125249863,0.9248,0.0,15.13372254371643,0.37131086342474995,0.17916297912597656,55.150543212890625,3.7098960595972397,17,17
resnet18,cifar10,1,0,1.5517035869598388,0.4376,0.0996057350657239,15.090880632400513,0.5226002282956067,0.3351783752441406,39.66207010605756,2.1602788672727695,17,17
resnet18,cifar10,1,1,1.206210914993286,0.5545,0.09842915805643156,15.103644847869873,0.5031557048068327,0.3395957946777344,45.888801238116095,2.3628332755144905,17,17
resnet18,cifar10,1,2,1.190450779724121,0.6016,0.09648882429441258,15.182918071746826,0.4860691621023066,0.3626699447631836,49.910014881807214,2.800422528210808,17,17
resnet18,cifar10,1,3,0.8937890216827392,0.6814,0.09381533400219319,15.178595066070557,0.4621366753297694,0.3405189514160156,51.00919117647059,2.780064120012171,17,17
resnet18,cifar10,1,4,0.7686001787185669,0.7357,0.0904508497187474,14.820281744003296,0.44742756380754356,0.32580289244651794,53.14691184548771,2.964036604937385,17,17
resnet18,cifar10,1,5,0.6901396787643432,0.7677,0.0864484313710706,14.983238935470581,0.42929261747528524,0.32555079460144043,53.77616882324219,2.985408306121826,17,17
resnet18,cifar10,1,6,0.5942772097110748,0.794,0.0818711994874345,14.999122619628906,0.41046297374893637,0.28917789459228516,53.99260801427505,3.0911251376656925,17,17
resnet18,cifar10,1,7,0.537910489320755,0.8193,0.07679133974894983,14.953340291976929,0.3980965579257292,0.27171945571899414,54.126332002527576,3.2232077402227066,17,17
resnet18,cifar10,1,8,0.5457609172821045,0.8198,0.07128896457825364,14.954974174499512,0.38666076695217805,0.2548370361328125,54.40874840231503,3.3253288128796745,17,17
resnet18,cifar10,1,9,0.49363445801734923,0.8336,0.06545084971874737,14.827178955078125,0.38058745773399577,0.23313532769680023,54.38372937370749,3.347404458943535,17,17
resnet18,cifar10,1,10,0.6599786895751953,0.7866,0.05936906572928624,14.916603803634644,0.3767462828580071,0.2361065149307251,54.568913852467254,3.3551383789847877,17,17
resnet18,cifar10,1,11,0.45178419895172117,0.8448,0.05313952597646568,14.955711841583252,0.37532004363396587,0.24323081970214844,54.49007886998794,3.3775210941539093,17,17
resnet18,cifar10,1,12,0.4953429107666016,0.8354,0.04686047402353434,14.928324699401855,0.3737792846034555,0.22561883926391602,54.74291543399586,3.4096105589586148,17,17
resnet18,cifar10,1,13,0.4060780532836914,0.8594,0.04063093427071378,14.957439661026001,0.3715779448256773,0.22895431518554688,54.60225924323587,3.475306174334358,17,17
resnet18,cifar10,1,14,0.4559243085384369,0.8474,0.03454915028125265,14.941151857376099,0.36937428397290845,0.22491168975830078,54.98486417882583,3.5153086676317105,17,17
resnet18,cifar10,1,15,0.3580343548297882,0.882,0.02871103542174637,14.988449096679688,0.3656749900649576,0.22276687622070312,54.76891506419462,3.5270156930474674,17,17
resnet18,cifar10,1,16,0.36412936825752257,0.8796,0.02320866025105016,15.019054889678955,0.3687640077927533,0.22043228149414062,54.96369260900161,3.5339710922802197,17,17
resnet18,cifar10,1,17,0.3319970556259155,0.8905,0.018128800512565515,14.885519742965698,0.3657695703646716,0.21240615844726562,55.02086863798254,3.6276817041284897,17,17
resnet18,cifar10,1,18,0.29314324049949647,0.9029,0.013551568628929436,14.86095404624939,0.3646904037279241,0.20514297485351562,55.05982567282284,3.6732742505915024,17,17
resnet18,cifar10,1,19,0.290383251619339,0.9048,0.009549150281252635,14.8385329246521,0.36389007813790264,0.2072610855102539,55.134552899528956,3.6605992667815266,17,17
resnet18,cifar10,1,20,0.28308189396858213,0.9129,0.006184665997806822,15.052248477935791,0.36397074075306163,0.20174598693847656,55.08280765309053,3.707813858985901,17,17
resnet18,cifar10,1,21,0.25272727823257446,0.919,0.003511175705587433,14.939140319824219,0.36384644403177147,0.20087718963623047,55.09084881053251,3.656398766181048,17,17
resnet18,cifar10,1,22,0.2384523612976074,0.9239,0.001570841943568452,14.99836778640747,0.36377496579114127,0.19964218139648438,55.08122230978573,3.712293835247264,17,17
resnet18,cifar10,1,23,0.23897648301124572,0.926,0.00039426493427611184,15.053646802902222,0.3640778888674343,0.19885635375976562,55.348825342514935,3.7923514632617725,17,17
resnet18,cifar10,1,24,0.23733899686336518,0.9252,0.0,14.845386266708374,0.36404795857036815,0.1985301971435547,55.178740333108344,3.7172854577793792,17,17
resnet18,cifar10,2,0,1.5624062801361085,0.4263,0.0996057350657239,14.724725484848022,0.49789223250220804,0.319793701171875,39.347947625552905,2.0429941135294296,17,17
resnet18,cifar10,2,1,1.2372805229187012,0.5407,0.09842915805643156,14.770854234695435,0.49102626127355237,0.3194999694824219,44.5596394258387,2.225858863662271,17,17
resnet18,cifar10,2,2,1.1050004956245423,0.617,0.09648882429441258,14.716227769851685,0.48946502278832826,0.34517544507980347,48.987533793729895,2.455055657555075,17,17
resnet18,cifar10,2,3,0.9115601417541503,0.683,0.09381533400219319,14.830355644226074,0.47453266557525187,0.3361339569091797,50.594487134148096,2.6136958599090576,17,17
resnet18,cifar10,2,4,0.802158352279663,0.7219,0.0904508497187474,14.760352373123169,0.46278898680911346,0.33716773986816406,52.07277096019072,2.71515173070571,17,17
resnet18,cifar10,2,5,0.9073619449615479,0.6879,0.0864484313710706,14.718539714813232,0.44194790896247416,0.3140983581542969,52.907282885383154,2.867367323707132,17,17
resnet18,cifar10,2,6,0.6113404072761536,0.7909,0.0818711994874345,14.735694408416748,0.43151279232081247,0.3170909881591797,53.817515653722424,2.982801872141221,17,17
resnet18,cifar10,2,7,0.6988405234336853,0.7617,0.07679133974894983,14.775796890258789,0.4139906273168676,0.30286407470703125,54.1128127154182,3.135871676837697,17,17
resnet18,cifar10,2,8,0.692090412902832,0.7663,0.07128896457825364,14.792234182357788,0.4034452298108269,0.27135801315307617,54.00373660816866,3.2656804112827076,17,17
resnet18,cifar10,2,9,0.6167194270133972,0.7853,0.06545084971874737,14.760952472686768,0.3969111302319695,0.26242637634277344,54.523588741526886,3.366157328381258,17,17
resnet18,cifar10,2,10,0.49181154890060425,0.8358,0.05936906572928624,14.799222946166992,0.3935825211160323,0.24889492988586426,54.085620655732995,3.2760931533925675,17,17
resnet18,cifar10,2,11,0.5280404570102691,0.822,0.05313952597646568,14.824855327606201,0.39164506863145265,0.2518281936645508,54.28339206471163,3.2844345078748813,17,17
resnet18,cifar10,2,12,0.505982783985138,0.8336,0.04686047402353434,14.789096593856812,0.3883513685534982,0.23798322677612305,54.47582559024586,3.380648514803718,17,17
resnet18,cifar10,2,13,0.44005366115570066,0.8477,0.04063093427071378,14.779265642166138,0.38868878168218274,0.2325763702392578,54.49598873362822,3.4317193381926594,17,17
