activation,seed,z_low,n_channels,frac_sign_match,frac_positive_corr_raw,mean_corr_raw,frac_positive_corr_zscore,mean_corr_zscore
gelu,0,-0.7291003465652466,3904,0.8895222584147665,0.4302113227237151,-0.13476069660245008,0.9509522567179755,0.7762331239181658
gelu,1,-0.7291003465652466,3904,0.8948051948051948,0.4219712525667351,-0.1462778965400615,0.9568788501026694,0.7984247569933638
gelu,2,-0.7291003465652466,3904,0.7551799345692476,0.38093994778067886,-0.1751184288879611,0.8960835509138381,0.6648236510304979
mish,0,-1.1560003757476809,3904,0.8702313006908982,0.39838337182448036,-0.19583316809736676,0.9263856812933026,0.7275108444746778
mish,1,-1.1560003757476809,3904,0.8962127782596127,0.4712027103331451,-0.08351639254535367,0.9415584415584416,0.7530276723990534
mish,2,-1.1560003757476809,3904,0.8740304064536146,0.49568837347606304,-0.04992040483792357,0.9372584002378829,0.7352214195704483
relu,0,-5.037893060944043e-05,3904,0.5265588914549654,0.8852459016393442,0.622623003909304,0.953125,0.782623458370269
relu,1,-5.037893060944043e-05,3904,0.41313831152168334,0.8358094262295082,0.5679988795466161,0.8960040983606558,0.7076970648000177
relu,2,-5.037893060944043e-05,3904,0.4289379168804515,0.8729508196721312,0.6342016037945433,0.921875,0.7542935279790929
silu,0,-1.2339003086090088,3904,0.896551724137931,0.4446376811594203,-0.12477661526375114,0.9434782608695652,0.7475276473993522
silu,1,-1.2339003086090088,3904,0.9139032552479465,0.43859138533178116,-0.13833515338496596,0.9548894062863795,0.7588692044915784
silu,2,-1.2339003086090088,3904,0.8976687859521647,0.42865329512893985,-0.14739450516095734,0.9398280802292264,0.7388244887047339
