image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,52.7368106842041,1092.418871696519,634.164557106609,29.044827081467933,20.991918538576957,0.1548253313248557,1.0,1.0,4.597178517842641,0.0033627866043108795,1.0,0.0,0.4194859009330773,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,52.493305683135986,1075.0846512993649,634.164648777713,28.663410400150564,20.991914955159878,0.15482535370549633,1.0,1.0,4.599894680816154,0.0034837233489785134,1.0,0.0,0.4101258463589344,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,55.19114947319031,1096.0214256277793,634.1645950116758,29.433785312587247,20.99190854172278,0.15482534057902242,1.0,1.0,4.594940988128019,0.003933426815752035,1.0,0.0,0.42139397991381516,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,54.902984619140625,1096.8077280803373,634.1647155217452,29.48593866578953,20.991914838024552,0.15482537000042607,1.0,1.0,4.592771082451216,0.003765091070927773,1.0,0.0,0.42180867321961935,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,53.30880808830261,1085.2546729284109,634.1646105006371,29.120437805605626,20.991912155333218,0.1548253443605071,1.0,1.0,4.593097212930923,0.0020501432846784413,1.0,0.0,0.4156536467247537,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,52.93981218338013,1093.1319615699526,634.1645481928914,29.36380113428763,20.991909334540438,0.15482532914865513,1.0,1.0,4.579363158255989,0.00038682382799064643,1.0,0.0,0.41986459962061096,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,53.864163398742676,1076.7795879654868,634.1646830586893,29.092042930709713,20.991910766389683,0.15482536207487532,1.0,1.0,4.585054137815354,0.0010252596432568102,1.0,0.0,0.41105432333008185,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,54.27633452415466,1105.930277998634,634.1647023145233,29.75438993554479,20.991911024135792,0.15482536677600667,1.0,1.0,4.601381747372576,0.004793069813121154,1.0,0.0,0.4265780448093432,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,0,57.72190284729004,1092.418871696519,634.2040405054158,29.044827081467933,20.991835952933226,0.15483497082651754,1.0,1.0,4.543246182466833,0.003842852618503665,1.0,0.0,0.4194497578383086,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,1,57.31218409538269,1075.0846512993649,634.2096667392111,28.663410400150564,20.991826338252142,0.1548363444187527,1.0,1.0,4.540716208738785,0.0029506302253175074,1.0,0.0,0.4100839724828227,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,2,57.92532229423523,1096.0214256277793,634.2112174967765,29.433785312587247,20.991788352881684,0.15483672302167395,1.0,1.0,4.537488597023627,0.005448829726371921,1.0,0.0,0.42135144198160823,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,3,58.772852420806885,1096.8077280803373,634.2068973750152,29.48593866578953,20.991758414937543,0.15483566830444706,1.0,1.0,4.529189495170495,0.004015789499514453,1.0,0.0,0.42177021447047847,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,4,58.47908568382263,1085.2546729284109,634.2083487142362,29.120437805605626,20.99183056265694,0.15483602263531157,1.0,1.0,4.523529631312567,0.0004601287568411645,1.0,0.0,0.41561334446696097,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,5,58.87672424316406,1093.1319615699526,634.2079786114343,29.36380113428763,20.991839059250395,0.1548359322781822,1.0,1.0,4.5222269637617405,-0.00036393670576911614,1.0,0.0,0.4198248693592429,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,6,59.86273765563965,1076.7795879654868,634.2098232918261,29.092042930709713,20.991844001744386,0.15483638263960597,1.0,1.0,4.525637958109124,0.0019849295761625225,1.0,0.0,0.4110124018136998,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,7,57.75198149681091,1105.930277998634,634.2081578901611,29.75438993554479,20.991865884427114,0.15483597604740262,1.0,1.0,4.561531092246927,0.006449091624605668,1.0,0.0,0.4265387515767567,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,0,38.06431722640991,1092.418871696519,634.2036036475921,29.044827081467933,20.991881822627793,0.15483486417177542,1.0,1.0,4.543889953575296,0.003978496834186919,1.0,0.0,0.4194501577378664,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,1,39.78262400627136,1075.0846512993649,634.2094161684886,28.663410400150564,20.991860717092717,0.1548362832442599,1.0,1.0,4.540384136813881,0.0029323169187620585,1.0,0.0,0.41008420555351366,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,2,38.17082238197327,1096.0214256277793,634.2109168029133,29.433785312587247,20.991816906497128,0.15483664961008625,1.0,1.0,4.536720353821626,0.005346060760635759,1.0,0.0,0.4213517163319596,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,3,38.88064527511597,1096.8077280803373,634.2063956071756,29.48593866578953,20.991799018367125,0.15483554580253311,1.0,1.0,4.528540024014872,0.003989622989195942,1.0,0.0,0.4217706719506974,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,4,38.98582339286804,1085.2546729284109,634.2078679594232,29.120437805605626,20.991859236127205,0.15483590526353105,1.0,1.0,4.523274467223775,0.00045529540802771343,1.0,0.0,0.4156137874549756,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,5,37.837385416030884,1093.1319615699526,634.2077537742388,29.36380113428763,20.991866296037898,0.15483587738628876,1.0,1.0,4.521644680947845,-0.000356473777017925,1.0,0.0,0.4198250750409021,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,6,37.735215187072754,1076.7795879654868,634.2094661449078,29.092042930709713,20.991874918094194,0.15483629544553412,1.0,1.0,4.524588216587223,0.0019276449107180637,1.0,0.0,0.41101273349431694,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,pgd,random,7,38.91283679008484,1105.930277998634,634.2076796071248,29.75438993554479,20.991896493147244,0.1548358592790832,1.0,1.0,4.561286280752488,0.006405850943589128,1.0,0.0,0.4265391840479946,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,53.93691945075989,1156.0253448260773,486.09442858178915,42.77111299670488,25.380055872313264,0.11867539760297587,1.0,1.0,4.596632795144354,0.0034003623274564184,1.0,0.0,0.5795123084823703,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,52.77755093574524,1131.1392176599334,486.0945480869837,42.04092793544508,25.380048521162028,0.11867542677904876,1.0,1.0,4.599562955004029,0.003348017048619301,1.0,0.0,0.5702610779488299,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,53.31471014022827,1160.575528091473,486.0944391365678,43.530100870626036,25.380036255374353,0.11867540017982613,1.0,1.0,4.594544604963265,0.0038730320937141053,1.0,0.0,0.5811608746085369,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,54.56536102294922,1162.393970358035,486.09466366902836,43.41013809260689,25.380050524042375,0.11867545499732138,1.0,1.0,4.591537685137529,0.0035813703534731153,1.0,0.0,0.581815910900412,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,53.605069398880005,1146.7068188171845,486.0944728177803,42.84859015516436,25.380043416765126,0.11867540840277839,1.0,1.0,4.592658458901654,0.002130493923582858,1.0,0.0,0.5760952452352368,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,52.44845485687256,1156.4435610656858,486.0943426315895,43.227793046261695,25.380035441533156,0.1186753766190404,1.0,1.0,4.580613892148815,0.000686012118797825,1.0,0.0,0.5796644479704277,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,52.839771032333374,1133.4090665811527,486.0947141080501,42.923787195431636,25.38004544633733,0.11867546731153567,1.0,1.0,4.582892074169449,0.0009163124948134599,1.0,0.0,0.5711215584552186,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,56.04167175292969,1174.6678906147408,486.09464571683236,44.06375557061088,25.380042581251836,0.11867545061446103,1.0,1.0,4.599957546815815,0.004749465669423349,1.0,0.0,0.5861854660363248,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,0,57.10159754753113,1156.0253448260773,486.12872390926043,42.77111299670488,25.380348557091864,0.11868377048565928,1.0,1.0,4.560040432170625,0.0035059316494620903,1.0,0.0,0.579482641894501,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,1,58.3615448474884,1131.1392176599334,486.1309996014287,42.04092793544508,25.380392579961804,0.11868432607456755,1.0,1.0,4.56109241787529,0.0027987403428861224,1.0,0.0,0.5702288524598044,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,oracle_pgd,random,2,56.3070650100708,1160.575528091473,486.13373895372183,43.530100870626036,25.380457429616357,0.1186849948617485,1.0,1.0,4.5594684405904,0.0053471089044187,1.0,0.0,0.5811270122564516,600
