image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded,snr_db
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,8,0.221548318862915,1673.0747708751635,352.1450352050493,241.6271137490196,9.549478592735031,0.0859729089856077,0.908447265625,0.8314606741573034,4.559420403432444,0.0067889492225091,0.248779296875,0.6865234375,0.7895222369405244,600,15.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,9,0.1855957508087158,1700.731764104106,309.04873331920214,270.3603920034168,13.982789911812311,0.0754513509080083,0.9208984375,0.8537906137184116,4.583666014043397,0.0149676378211885,0.263671875,0.67578125,0.8182848466512885,600,15.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.1,0.0,0.0,adam,random,8,0.1865499019622802,1755.387604641517,364.2547977907016,251.13713613146624,16.205404064194916,0.0889293939918705,0.90576171875,0.8277554663096832,4.572607335257751,0.013719231374943,0.234130859375,0.69873046875,0.792493238058902,600,20.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.1,0.0,0.0,adam,random,9,0.1871345043182373,1782.0713040009537,321.4179970448897,282.0901121367794,19.94527278589944,0.0784711906847875,0.91796875,0.8483754512635379,4.547240710740606,0.010607320545927,0.246826171875,0.6923828125,0.8196379705327898,600,20.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.0316227766016837,0.0,0.0,adam,random,8,0.1921668052673339,1847.6087847673075,389.25068084011457,261.49958821977407,20.18916186975761,0.0950319045019811,0.90234375,0.8219848687138407,4.578424669347414,0.0224812841695019,0.216064453125,0.7119140625,0.7893219148721801,600,30.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.0316227766016837,0.0,0.0,adam,random,9,0.1937315464019775,1873.4373782163343,309.51048743403646,294.181112057761,0.1403492311192359,0.0755640838462003,0.9228515625,0.8568840579710145,4.50531970723276,0.0086172897253173,0.217529296875,0.705078125,0.8347900543498733,600,30.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,8,0.1779360771179199,1880.646158111725,395.5572606823608,265.13113055315256,0.0747880545086206,0.0965715968462795,0.902587890625,0.8231382978723404,4.577701834224246,0.0244763646035079,0.200439453125,0.7197265625,0.7896694925963518,600,40.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.01,0.0,0.0,adam,random,9,0.1947042942047119,1906.2043433289955,318.6374389723836,298.3186201874214,0.6592625514883058,0.0777923434991171,0.921630859375,0.8547511312217194,4.476449143280166,0.0035709419334584,0.207763671875,0.71630859375,0.8328419300441235,600,40.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.0031622776601683,0.0,0.0,adam,random,8,0.1817715167999267,1891.480940436875,398.8706763987996,266.3128962681846,0.7655569186096588,0.0973805362301756,0.90234375,0.8225377107364685,4.545639303065495,0.0190501982681413,0.207275390625,0.711181640625,0.7891225505520175,600,50.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.0031622776601683,0.0,0.0,adam,random,9,0.6161682605743408,1916.9536150631045,311.5967908502838,299.65652367811634,13.275840802558877,0.0760734352661825,0.923828125,0.8585034013605443,4.483574852752287,0.0052422291346152,0.1953125,0.712646484375,0.8374520967008237,600,50.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,8,0.2592945098876953,1894.945944202574,404.6458817080117,266.68987493297266,0.1977396834285608,0.09879049846387,0.901123046875,0.8203991130820399,4.578317456443756,0.0250354662789232,0.1982421875,0.720458984375,0.7864604618691149,600,60.0
64,64,sobel_x,checkerboard,40.0,0.0,sigmoid,0.001,0.0,0.0,adam,random,9,0.1793339252471923,1920.391578005628,327.71923421893416,300.0824982879254,2.65227718661494,0.0800095786667319,0.919921875,0.8520523229589535,4.431986941591727,-0.0039409162657604,0.189208984375,0.72314453125,0.8293477028475211,600,60.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,0,47.41574215888977,864.9157617547647,449.75400169503246,26.032489043114303,16.914012494241863,0.10980322307007628,0.941650390625,0.8900138057984354,3.9430440880571527,0.006194365786373314,1.0,0.0,0.48000253714586116,600,15.0
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.1778279410038923,0.0,0.0,adam,random,1,46.68716859817505,849.0891549854998,449.7539454213018,25.646461275136463,16.91394301351589,0.10980320933137251,0.94189453125,0.8904739990796134,3.942054293215775,0.006176816785077449,1.0,0.0,0.47031010491591735,600,15.0
