arch,activation,optimizer,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,min_active_frac,mean_effective_rank,mean_stable_rank,n_layers_measured,n_layers_total,grad_norm
resnet18,silu,sgd,tinyimagenet200,0,0,0.08921854993597951,3.91511056060791,0.1427,0.0996057350657239,129.3640673160553,0.9905574181500603,0.9812660217285156,57.79070798088522,6.755176992977367,17,17,1.9342178377652393
resnet18,silu,sgd,tinyimagenet200,0,1,0.2094670294494238,3.3793460678100584,0.2328,0.09842915805643156,90.5077292919159,0.993033906992744,0.9827389717102051,58.815344866584326,8.249058835646686,17,17,1.882364247850982
resnet18,silu,sgd,tinyimagenet200,0,2,0.2784691101152369,3.0502292289733886,0.2885,0.09648882429441258,89.83923172950745,0.9945338754092946,0.9837789535522461,59.18597838457893,9.53371104072122,17,17,2.2453660966259967
resnet18,silu,sgd,tinyimagenet200,0,3,0.3248139404609475,2.8660806465148925,0.3239,0.09381533400219319,89.14913582801819,0.9948126919129315,0.9841246604919434,59.136403027702784,10.160199165344238,17,17,2.147232065799152
resnet18,silu,sgd,tinyimagenet200,0,4,0.3589448623559539,2.764610185241699,0.3414,0.0904508497187474,89.98352575302124,0.994604510419509,0.9831318855285645,59.05483963910271,9.731201059678021,17,17,2.572242840955742
resnet18,silu,sgd,tinyimagenet200,0,5,0.3861935819462228,2.5823757034301758,0.3869,0.0864484313710706,89.72646379470825,0.9944550465135014,0.9829535484313965,59.15195554845474,9.739948469049791,17,17,2.5126872457408327
resnet18,silu,sgd,tinyimagenet200,0,6,0.40930097631241996,2.6274018531799315,0.3747,0.0818711994874345,89.34729838371277,0.9942291098482469,0.9823012351989746,58.835649602553424,8.591963038725012,17,17,2.5421433221591196
resnet18,silu,sgd,tinyimagenet200,0,7,0.4272867317541613,2.457230661010742,0.4071,0.07679133974894983,89.29208278656006,0.9940508113187903,0.9819822311401367,58.50559324376724,8.214200805215274,17,17,2.6580132628094404
resnet18,silu,sgd,tinyimagenet200,0,8,0.4475932298335467,2.373584619140625,0.4277,0.07128896457825364,89.86303639411926,0.9939235378714169,0.9817309379577637,58.49314364264993,8.474668586955351,17,17,2.6702875999831712
resnet18,silu,sgd,tinyimagenet200,0,9,0.4638284250960307,2.3845169021606445,0.4248,0.06545084971874737,89.56670808792114,0.9937938802382525,0.9816927909851074,58.488600338206574,7.806254555197323,17,17,2.753216739286982
resnet18,silu,sgd,tinyimagenet200,0,10,0.4821442861715749,2.2572373497009277,0.4489,0.05936906572928624,90.50457620620728,0.9936874508857727,0.9817008972167969,58.32247229183422,7.552001167746151,17,17,2.9092518459208665
resnet18,silu,sgd,tinyimagenet200,0,11,0.4973391485275288,2.189061819458008,0.4675,0.05313952597646568,90.59602117538452,0.9935811512610492,0.9816069602966309,58.18207931518555,7.154918025521671,17,17,2.8735599563949634
resnet18,silu,sgd,tinyimagenet200,0,12,0.5165052816901409,2.1970725540161133,0.4674,0.04686047402353434,89.44780325889587,0.993554010110743,0.9817910194396973,58.11913501515108,6.723672614378088,17,17,3.17593410124178
resnet18,silu,sgd,tinyimagenet200,0,13,0.5333006562099872,2.116256674575806,0.4914,0.04063093427071378,89.4557204246521,0.993421593133141,0.9816293716430664,58.2676638434915,7.47227266255547,17,17,3.255831224908767
resnet18,silu,sgd,tinyimagenet200,0,14,0.5512263924455826,2.005827535057068,0.505,0.03454915028125265,89.48065280914307,0.9933908055810368,0.9817595481872559,58.18911563648897,7.470861995921416,17,17,3.5311932978406912
resnet18,silu,sgd,tinyimagenet200,0,15,0.5706726152368758,1.9906049987792969,0.5173,0.02871103542174637,89.7171368598938,0.9934007805936477,0.981881856918335,58.26749891393325,7.1790105455061966,17,17,4.064832678606594
resnet18,silu,sgd,tinyimagenet200,0,16,0.592469590268886,1.9381201690673828,0.5237,0.02320866025105016,88.98392176628113,0.9933881724581999,0.9815969467163086,58.212138905244714,6.827553412493537,17,17,4.144295219278617
resnet18,silu,sgd,tinyimagenet200,0,17,0.6133962868117798,1.8540134338378906,0.5394,0.018128800512565515,89.33749866485596,0.9934393307741951,0.9819562435150146,58.123064153334674,7.304785321740543,17,17,4.7986050631390835
resnet18,silu,sgd,tinyimagenet200,0,18,0.6407050256081946,1.8063051345825196,0.5527,0.013551568628929436,89.57716512680054,0.993490482077879,0.981898307800293,58.05690339032341,7.128606726141537,17,17,4.631986981513789
resnet18,silu,sgd,tinyimagenet200,0,19,0.6665633002560819,1.7296375274658202,0.5701,0.009549150281252635,89.02965068817139,0.9935198250938865,0.981964111328125,58.133677763097424,6.98336740101085,17,17,5.519640649856116
resnet18,silu,sgd,tinyimagenet200,0,20,0.6966329225352113,1.655131014251709,0.5875,0.006184665997806822,89.2450430393219,0.9935678874745089,0.9821591377258301,58.30424768784467,7.406793860828175,17,17,5.626948833970817
resnet18,silu,sgd,tinyimagenet200,0,21,0.7273127400768246,1.6029121807098388,0.6014,0.003511175705587433,89.52363157272339,0.9936331019682043,0.982480525970459,58.289275449865,7.222240125431734,17,17,6.173385209445489
