resolution,N,alpha_star,alpha_star_err,beta,beta_err,scale,iou_min,unidentifiable,pinned_params
32x32,1024,20.05182159896376,0.06576139651455144,0.042652054394741123,0.00348646042925369,0.19947256741283245,0.7749390056081642,False,
64x64,4096,17.216891993970233,0.6459828025481296,0.030582342459882714,0.004708472132585869,0.21180716897921362,0.7712228175469275,False,
128x128,16384,17.258941334787774,0.8187265860931722,0.029462144260650493,0.004773215677256785,0.21388893235663975,0.7695957731167474,False,
