alpha,seed,effective_rank,thresh_rank,lam_max,loss_final,output_iou_final
1.0,0,304.51068355292745,341,3.8071913654151595,158.54323389285128,1.0
1.0,1,304.51068587075616,341,3.807187865739339,158.54326351954103,1.0
1.0,2,304.51068046761867,341,3.80719467548967,158.54310427625182,1.0
1.5,0,304.36281901229324,341,5.389757629480375,121.52788144077486,1.0
1.5,1,304.362805781558,341,5.389747894433342,121.52806756408154,1.0
1.5,2,304.3627996035935,341,5.3897628173560195,121.52765953001153,1.0
2.0,0,303.9704622680318,341,6.674478544955734,92.04664509700858,1.0
2.0,1,303.970385166202,341,6.674466095027277,92.04688681507409,1.0
2.0,2,303.97038435812937,341,6.67448572983696,92.0459108649282,1.0
3.0,0,301.74438854186474,341,8.429981876903273,51.92258919749352,1.0
3.0,1,301.74395676787674,341,8.42999079069114,51.923440157895925,1.0
3.0,2,301.74384357071784,341,8.429991070699714,51.92104610542099,1.0
5.0,0,287.74216271583316,341,9.814986270305234,17.14732512418017,1.0
5.0,1,287.74260468263884,341,9.815940702879812,17.15018103825384,1.0
5.0,2,287.7337377185516,341,9.815052716087056,17.141207584284345,1.0
7.0,0,260.7842501428721,341,9.439354799502016,6.322542013707528,1.0
7.0,1,260.7004220890746,341,9.440405935976553,6.320588689298403,1.0
7.0,2,260.5261845719017,341,9.430055562123817,6.30921653170842,1.0
10.0,0,229.77794843504788,341,7.885936068752787,1.5834830364399535,1.0
10.0,1,234.1039985382316,341,8.947044083691045,6.787675725856141,0.9902723735408561
10.0,2,228.95275712378935,341,7.420245620718813,3.5094258050047586,0.9961089494163424
13.0,0,221.03671177142905,341,6.364459777542442,7.416472359434265,0.9864603481624759
13.0,1,217.62435559544488,341,5.592869461565531,33.37244078935673,0.9379699248120301
13.0,2,218.98203732686233,341,8.571343474348025,7.466666548266594,0.9865125240847784
16.0,0,203.30091107252915,341,8.411375788719273,17.187128070581252,0.9674329501915708
16.0,1,197.05487594716217,341,6.912936954150978,52.13709658835222,0.9049360146252285
16.0,2,211.1622461263471,341,4.704796577101993,24.144660699139077,0.9546313799621928
20.0,0,139.391431739571,262,12.497584204583694,36.78667586126313,0.930841121495327
20.0,1,159.01695184185942,232,13.835990366172755,77.10897148631784,0.8627450980392157
20.0,2,153.99729533292512,252,15.184708918656632,31.01390333132207,0.9415094339622642
25.0,0,147.23195794186722,213,10.243139859908,67.78132265653417,0.875
25.0,1,106.70760678473447,164,14.542550919364308,113.07950010189072,0.8051724137931034
25.0,2,129.86285955880604,182,13.592677845088977,67.056428114783,0.8766114180478821
30.0,0,67.6713394040292,111,23.57654465445694,91.16662748977538,0.8372093023255814
30.0,1,121.00414856812165,192,4.508700360710125,117.01201051924622,0.7986230636833046
30.0,2,143.37570043323237,223,2.527801910321261,76.00492382372158,0.8620689655172413
40.0,0,78.11584522351868,129,7.1165197881369355,119.00234388156198,0.7926829268292683
40.0,1,94.40701174402783,146,3.856460767194,148.00287064063608,0.7537437603993344
40.0,2,114.63103874494269,168,2.042075993590303,116.00176910512477,0.7924865831842576
60.0,0,55.40775365263644,88,4.048228990600508,139.95556825662243,0.7582037996545768
60.0,1,52.94574721032312,77,5.877279452587745,170.00144384581012,0.7208538587848933
60.0,2,66.34429721789596,101,1.9303150664524407,158.0003718165044,0.7271157167530224
