alpha,seed,layers,iou_final,loss_final,frac_active
1.0,0,1,1.0,634.164557106609,1.0
1.0,0,2,0.5703125,930.7757299222924,1.0
1.0,1,1,1.0,634.164648777713,1.0
1.0,1,2,0.5634765625,930.8843240236307,1.0
1.0,2,1,1.0,634.1645950116758,1.0
1.0,2,2,0.5908203125,930.4489501041126,1.0
1.0,3,1,1.0,634.1647155217452,1.0
1.0,3,2,0.56298828125,930.8839502452751,1.0
1.0,4,1,1.0,634.1646105006371,1.0
1.0,4,2,0.556640625,930.9957193319927,1.0
1.0,5,1,1.0,634.1645481928914,1.0
1.0,5,2,0.5634765625,930.8831090061345,1.0
1.0,6,1,1.0,634.1646830586893,1.0
1.0,6,2,0.58984375,930.585443246915,1.0
1.0,7,1,1.0,634.1647023145233,1.0
1.0,7,2,0.56298828125,930.8859906458521,1.0
1.5,0,1,1.0,486.09442858178915,1.0
1.5,0,2,0.58349609375,843.8742871216076,1.0
1.5,1,1,1.0,486.0945480869837,1.0
1.5,1,2,0.5712890625,844.416642778499,1.0
1.5,2,1,1.0,486.0944391365678,1.0
1.5,2,2,0.60009765625,842.8435149562846,1.0
1.5,3,1,1.0,486.09466366902836,1.0
1.5,3,2,0.57666015625,844.2672946674118,1.0
1.5,4,1,1.0,486.0944728177803,1.0
1.5,4,2,0.5771484375,844.29310605609,1.0
1.5,5,1,1.0,486.0943426315895,1.0
1.5,5,2,0.57275390625,844.4399815065974,1.0
1.5,6,1,1.0,486.0947141080501,1.0
1.5,6,2,0.5849609375,843.9098200667131,1.0
1.5,7,1,1.0,486.09464571683236,1.0
1.5,7,2,0.5693359375,844.7257712464739,1.0
2.0,0,1,1.0,368.15763731086815,1.0
2.0,0,2,0.5029296875,771.8597936894189,0.928955078125
2.0,1,1,1.0,368.1577835759415,1.0
2.0,1,2,0.4736328125,771.3667228528957,0.934814453125
2.0,2,1,1.0,368.157636336711,1.0
2.0,2,2,0.50146484375,769.4126572782636,0.927001953125
2.0,3,1,1.0,368.1580334897473,1.0
2.0,3,2,0.4870668618838458,772.2459152275595,0.93359375
2.0,4,1,1.0,368.1577061773091,1.0
2.0,4,2,0.49829184968277207,771.2982290196253,0.931396484375
2.0,5,1,1.0,368.1575081003245,1.0
2.0,5,2,0.4900048756704047,772.4054410223812,0.932861328125
2.0,6,1,1.0,368.1580758510032,1.0
2.0,6,2,0.50341796875,769.8926705181617,0.926025390625
2.0,7,1,1.0,368.15787528745784,1.0
2.0,7,2,0.4833984375,771.7567952150769,0.9306640625
3.0,0,1,1.0,207.63690324054053,1.0
3.0,0,2,0.5896686159844055,655.6216942704477,0.900390625
3.0,1,1,1.0,207.63688459245526,1.0
3.0,1,2,0.5818713450292398,653.9423114581156,0.899169921875
3.0,2,1,1.0,207.63710725198413,1.0
3.0,2,2,0.5823586744639376,651.4355566171721,0.897216796875
3.0,3,1,1.0,207.63771107420877,1.0
3.0,3,2,0.5657894736842105,656.8630187257122,0.90576171875
3.0,4,1,1.0,207.63673984936298,1.0
3.0,4,2,0.5796395518753045,654.0454907823316,0.901611328125
3.0,5,1,1.0,207.6365405512995,1.0
3.0,5,2,0.5912195121951219,653.6805003497348,0.8984375
3.0,6,1,1.0,207.63761158396483,1.0
3.0,6,2,0.5732421875,652.1863751653675,0.90185546875
3.0,7,1,1.0,207.63719791712168,1.0
3.0,7,2,0.5933690882496343,653.7461383574625,0.899658203125
5.0,0,1,1.0,68.4799917783601,1.0
5.0,0,2,0.7395732298739088,504.3875710683626,0.68115234375
5.0,1,1,1.0,68.47984878783133,1.0
5.0,1,2,0.7347235693501455,503.53858462305095,0.68115234375
5.0,2,1,1.0,68.48007382624746,1.0
5.0,2,2,0.7316836487142164,510.5843026515796,0.682861328125
5.0,3,1,1.0,68.48107387668932,1.0
5.0,3,2,0.7091439688715954,514.3490534397606,0.682861328125
5.0,4,1,1.0,68.4794646954032,1.0
5.0,4,2,0.7291262135922331,501.07395349839965,0.693115234375
5.0,5,1,1.0,68.47751528600956,1.0
5.0,5,2,0.7418570734078755,498.5063898469729,0.683837890625
5.0,6,1,1.0,68.48131614537675,1.0
5.0,6,2,0.7251092763477416,505.1474271751887,0.681640625
5.0,7,1,1.0,68.48057232543202,1.0
5.0,7,2,0.7316836487142164,505.50208084707594,0.681640625
7.0,0,1,1.0,25.107528526597292,0.625
7.0,0,2,0.7608695652173914,444.81688446755686,0.536865234375
7.0,1,1,1.0,25.11166380885681,0.625
7.0,1,2,0.7730769230769231,436.2478117254053,0.544677734375
7.0,2,1,1.0,25.111178790616727,0.625
7.0,2,2,0.7678227360308285,446.46060679209245,0.535400390625
7.0,3,1,1.0,25.110345443407997,0.625
7.0,3,2,0.7461685823754789,454.6467566803895,0.541015625
7.0,4,1,1.0,25.108401537831583,0.625
7.0,4,2,0.7503607503607503,444.433307519609,0.55322265625
7.0,5,1,1.0,25.10767219885187,0.625
7.0,5,2,0.7591698841698842,442.80790478029695,0.5439453125
7.0,6,1,1.0,25.111524472662744,0.625
7.0,6,2,0.7605973025048169,442.74958126672414,0.5517578125
7.0,7,1,1.0,25.110901623266457,0.625
7.0,7,2,0.7387735393529696,457.8494506421763,0.54150390625
10.0,0,1,1.0,6.071614503395619,0.5
10.0,0,2,0.7809069212410501,406.87629076346934,0.429931640625
10.0,1,1,1.0,6.076158983068312,0.5
10.0,1,2,0.7460992907801418,438.1318767689586,0.4365234375
10.0,2,1,1.0,6.075277013444064,0.5
10.0,2,2,0.7464183381088825,444.63916327324404,0.422119140625
10.0,3,1,1.0,6.071738535139074,0.5
10.0,3,2,0.725140712945591,463.4080109458645,0.430419921875
10.0,4,1,1.0,6.07606316436582,0.5
10.0,4,2,0.7663640707118968,407.2412507966444,0.453857421875
10.0,5,1,1.0,6.072691477765724,0.5
10.0,5,2,0.7536852116024727,437.50869800634405,0.43603515625
10.0,6,1,1.0,6.071948340589903,0.5
10.0,6,2,0.758095238095238,416.59261063112837,0.443115234375
10.0,7,1,1.0,6.07265455299451,0.5
10.0,7,2,0.7466981132075472,439.2724030165522,0.45068359375
13.0,0,1,0.99560546875,10.495485920255309,0.495361328125
13.0,0,2,0.7598856598380181,425.54794004668906,0.3388671875
13.0,1,1,0.9956161714564052,9.920172148454373,0.49951171875
13.0,1,2,0.731040979745643,453.97378545801536,0.350830078125
13.0,2,1,0.9965870307167235,8.44027988879349,0.4990234375
13.0,2,2,0.7116389548693587,490.5509388805532,0.3251953125
13.0,3,1,0.9936616284739151,14.477943531281252,0.494873046875
13.0,3,2,0.7056338028169014,498.3199596761437,0.34130859375
13.0,4,1,0.9917475728155339,18.412604409679467,0.499755859375
13.0,4,2,0.7489321309919317,437.9844293194382,0.352783203125
13.0,5,1,0.9941463414634146,13.4539925525881,0.496337890625
13.0,5,2,0.7355996222851747,465.4094651099299,0.340087890625
13.0,6,1,1.0,1.4638938742229373,0.5
13.0,6,2,0.7439773264052905,443.12047125534014,0.34326171875
13.0,7,1,0.9965936739659368,7.96962080128613,0.501708984375
13.0,7,2,0.7293621013133208,460.3871101549129,0.3505859375
16.0,0,1,0.9786821705426356,44.33530173716129,0.484130859375
16.0,0,2,0.7297297297297297,479.17240063163626,0.257568359375
16.0,1,1,0.9835191468734852,34.31697328469953,0.49365234375
16.0,1,2,0.7305871212121212,472.4242459727624,0.271484375
16.0,2,1,0.9892839746712129,22.526522550421344,0.49267578125
16.0,2,2,0.6993865030674846,527.7178871512463,0.2490234375
16.0,3,1,0.974000962927299,54.36733693543317,0.490234375
16.0,3,2,0.6786716557530402,563.3130804788553,0.264892578125
16.0,4,1,0.974987974987975,52.402064247640524,0.49267578125
16.0,4,2,0.7275320970042796,474.312800422323,0.265625
16.0,5,1,0.9845261121856866,32.27956374642588,0.496826171875
16.0,5,2,0.7263207996192289,483.2412581304924,0.269287109375
16.0,6,1,0.9868868382710053,27.397857758370233,0.4921875
16.0,6,2,0.7362948960302458,463.29137431735694,0.27490234375
16.0,7,1,0.9773603082851637,47.370993764298454,0.4921875
16.0,7,2,0.7144873000940734,485.2633853599634,0.283447265625
