layer,mean_abs_gamma,mean_abs_beta,activation,optimizer,seed,epoch
stages.2.bn1,0.9917866587638855,0.10635599493980408,relu,adamw,1,6
stages.2.bn2,0.9985624551773071,0.10041124373674393,relu,adamw,1,6
stages.2.shortcut.1,1.0025513172149658,0.10041124373674393,relu,adamw,1,6
stages.3.bn1,0.9861151576042175,0.1593913435935974,relu,adamw,1,6
stages.3.bn2,0.9665625095367432,0.1326952576637268,relu,adamw,1,6
stages.4.bn1,0.9920546412467957,0.1456092745065689,relu,adamw,1,6
stages.4.bn2,1.0376789569854736,0.11697212606668472,relu,adamw,1,6
stages.4.shortcut.1,0.9887176752090454,0.11697212606668472,relu,adamw,1,6
stages.5.bn1,0.983196496963501,0.17287597060203552,relu,adamw,1,6
stages.5.bn2,0.942428708076477,0.1371557116508484,relu,adamw,1,6
stages.6.bn1,0.9890757203102112,0.13552482426166534,relu,adamw,1,6
stages.6.bn2,0.9934250712394714,0.0673443078994751,relu,adamw,1,6
stages.6.shortcut.1,0.9794988036155701,0.0673443078994751,relu,adamw,1,6
stages.7.bn1,0.9886105060577393,0.07519875466823578,relu,adamw,1,6
stages.7.bn2,0.9426465034484863,0.0647386908531189,relu,adamw,1,6
stem_bn,0.956204891204834,0.13533595204353333,relu,adamw,1,12
stages.0.bn1,0.990305483341217,0.12244366109371185,relu,adamw,1,12
stages.0.bn2,1.0199120044708252,0.10067326575517654,relu,adamw,1,12
stages.1.bn1,0.9707179069519043,0.20473766326904297,relu,adamw,1,12
stages.1.bn2,0.9914838671684265,0.11765866726636887,relu,adamw,1,12
stages.2.bn1,0.9850956201553345,0.14978274703025818,relu,adamw,1,12
stages.2.bn2,0.9990147352218628,0.1485651135444641,relu,adamw,1,12
stages.2.shortcut.1,0.9834184050559998,0.1485651135444641,relu,adamw,1,12
stages.3.bn1,0.9753704071044922,0.2237040102481842,relu,adamw,1,12
stages.3.bn2,0.9702819585800171,0.18632866442203522,relu,adamw,1,12
stages.4.bn1,0.9828535914421082,0.2145184874534607,relu,adamw,1,12
stages.4.bn2,1.044585943222046,0.18777935206890106,relu,adamw,1,12
