arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,mean_active_frac_delta,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end,mean_effective_rank_delta
resnet50,gelu,sgd,places365_subset,0,25,0.6812621472715475,0.9876992665991492,0.9990857401672676,0.011386473568118394,0.8399792031376347,28.27729075295585,53.17202548591458,24.89473473295873
resnet50,gelu,sgd,places365_subset,1,25,0.7243273514363364,0.988450425011771,0.9991137482682052,0.010663323256434154,0.7161612100719592,35.00417824180759,56.16203969838668,21.15786145657909
resnet50,mish,sgd,places365_subset,0,25,0.6908876942893142,0.9955136605671474,0.9997596582587884,0.004245997691641024,0.7069748465620432,23.630414018825608,53.51069711179149,29.88028309296588
resnet50,mish,sgd,places365_subset,1,25,0.6568423474041456,0.994723262835522,0.9996990646634784,0.0049758018279563165,0.6733991007589426,32.50191509480379,57.77218277600347,25.270267681199677
resnet50,relu,sgd,places365_subset,0,25,-0.8989316806921878,0.5536654022883396,0.4709794347991748,-0.08268596748916479,0.796935487527254,30.727973193538432,53.47449392201949,22.74652072848106
resnet50,relu,sgd,places365_subset,1,25,-0.9212276410305565,0.5470842392164834,0.4804243627859622,-0.06665987643052124,0.751712603411258,27.943009142972983,53.5843114269023,25.64130228392932
resnet50,silu,sgd,places365_subset,0,25,0.6970921614973246,0.9962691749845232,0.9997302111314268,0.003461036146903629,0.6475263421023187,26.403934050579466,56.819201488884126,30.41526743830466
resnet50,silu,sgd,places365_subset,1,25,0.7100549450916752,0.9964975824161452,0.9997278111321586,0.003230228716013417,0.5528993535231919,26.2980520481966,57.10835328394053,30.810301235743932
