image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,50.98680520057678,1092.418871696519,634.164557106609,29.044827081467933,20.991918538576957,0.1548253313248557,1.0,1.0,4.597178517842641,0.0033627866043108795,1.0,0.0,0.4194859009330773,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,47.03180122375488,1075.0846512993649,634.164648777713,28.663410400150564,20.991914955159878,0.15482535370549633,1.0,1.0,4.599894680816154,0.0034837233489785134,1.0,0.0,0.4101258463589344,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,50.575634479522705,1096.0214256277793,634.1645950116758,29.433785312587247,20.99190854172278,0.15482534057902242,1.0,1.0,4.594940988128019,0.003933426815752035,1.0,0.0,0.42139397991381516,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,52.83489799499512,1096.8077280803373,634.1647155217452,29.48593866578953,20.991914838024552,0.15482537000042607,1.0,1.0,4.592771082451216,0.003765091070927773,1.0,0.0,0.42180867321961935,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,49.02937912940979,1085.2546729284109,634.1646105006371,29.120437805605626,20.991912155333218,0.1548253443605071,1.0,1.0,4.593097212930923,0.0020501432846784413,1.0,0.0,0.4156536467247537,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,51.755114793777466,1093.1319615699526,634.1645481928914,29.36380113428763,20.991909334540438,0.15482532914865513,1.0,1.0,4.579363158255989,0.00038682382799064643,1.0,0.0,0.41986459962061096,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,52.01672053337097,1076.7795879654868,634.1646830586893,29.092042930709713,20.991910766389683,0.15482536207487532,1.0,1.0,4.585054137815354,0.0010252596432568102,1.0,0.0,0.41105432333008185,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,52.44296407699585,1105.930277998634,634.1647023145233,29.75438993554479,20.991911024135792,0.15482536677600667,1.0,1.0,4.601381747372576,0.004793069813121154,1.0,0.0,0.4265780448093432,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,8,51.448493242263794,1065.4552878172697,634.1646106119977,28.3806297766053,20.99191990018572,0.15482534438769474,1.0,1.0,4.586332624144227,0.002407196807824347,1.0,0.0,0.40479472215941575,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,9,51.7253258228302,1061.8057804400732,634.1643378191276,28.744421965044673,20.99191260219503,0.15482527778787294,1.0,1.0,4.5960280038225,0.0040025171456324225,1.0,0.0,0.40274921317880424,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,10,53.10923933982849,1075.878343039792,634.1645685647001,28.537721213523987,20.991910564399078,0.15482533412224123,1.0,1.0,4.59872316477054,0.0032772147037288266,1.0,0.0,0.41056108000749575,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,11,50.238343715667725,1074.285400872758,634.1647111880206,28.717872306787708,20.991908844778248,0.15482536894238785,1.0,1.0,4.591428804366969,0.002418522229899181,1.0,0.0,0.40968693172892395,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,12,51.50572061538696,1081.8373958432476,634.1646112109213,29.074065902197333,20.991912452555418,0.15482534453391633,1.0,1.0,4.58330394564141,0.0018933064188149601,1.0,0.0,0.41380782948752093,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,13,50.44342112541199,1081.4905785098738,634.1646067242237,29.109563686163877,20.99191190375085,0.1548253434385312,1.0,1.0,4.588973597694093,0.0018717870355408979,1.0,0.0,0.4136198508562098,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,14,52.60619783401489,1083.942494826946,634.1646840285139,29.06278441197666,20.99190872155147,0.1548253623116489,1.0,1.0,4.595986158752087,0.003248610009730408,1.0,0.0,0.41494619220574075,600
