activation,seed,z_low,n_channels,frac_sign_match,frac_positive_corr_raw,mean_corr_raw,frac_positive_corr_zscore,mean_corr_zscore
gelu,0,-0.7291003465652466,3904,0.33463237204468693,0.6175717213114754,0.18888067027923439,0.6982581967213115,0.32627025625917944
gelu,1,-0.7291003465652466,3904,0.3075916230366492,0.6442110655737705,0.22259306056595973,0.7195184426229508,0.3410003412988246
gelu,2,-0.7291003465652466,3904,0.2567778936392075,0.7067110655737705,0.3146549438373359,0.7768954918032787,0.4239154813671213
mish,0,-1.1560003757476809,3904,0.22037476906835576,0.7548668032786885,0.3546049473190871,0.7822745901639344,0.41241753940049913
mish,1,-1.1560003757476809,3904,0.2079155672823219,0.7622950819672131,0.3726025788912064,0.7830430327868853,0.42504954364966874
mish,2,-1.1560003757476809,3904,0.2653916688498821,0.7240584166026134,0.3144448540591842,0.7622341788367922,0.38586862714885717
relu,0,-5.037893060944043e-05,3904,0.5562403697996918,0.8724385245901639,0.6727822729720879,0.8939549180327869,0.7222629548689731
relu,1,-5.037893060944043e-05,3904,0.5529019003595275,0.8916495901639344,0.7091892198870419,0.9054815573770492,0.7423498700279139
relu,2,-5.037893060944043e-05,3904,0.524653312788906,0.8760245901639344,0.6725530517494306,0.8916495901639344,0.7139149330181488
silu,0,-1.2339003086090088,3904,0.17876802096985583,0.7712602459016393,0.4095679531583866,0.7940573770491803,0.441478699507899
silu,1,-1.2339003086090088,3904,0.18871391076115485,0.7679303278688525,0.39977055985387105,0.8073770491803278,0.45982187253321816
silu,2,-1.2339003086090088,3904,0.2363348296804859,0.7533299180327869,0.34744803341389413,0.7891905737704918,0.4083440792651853
