arch,activation,optimizer,dataset,seed,n_epochs,r_mean_active_frac,mean_active_frac_start,mean_active_frac_end,mean_active_frac_delta,r_mean_effective_rank,mean_effective_rank_start,mean_effective_rank_end,mean_effective_rank_delta
resnet18,gelu,sgd,tinyimagenet200,0,25,0.06467011831674156,0.9848330091027652,0.9887362192658816,0.003903210163116455,-0.8262586093227994,57.0767920998966,57.0556806676528,-0.0211114322437993
resnet18,gelu,sgd,tinyimagenet200,1,25,-0.03406774819871765,0.9850795409258676,0.9889960218878352,0.003916480961967617,-0.5647452102247558,55.123649821561926,56.54422378540039,1.4205739638384642
resnet18,gelu,sgd,tinyimagenet200,2,25,0.07286812679792502,0.9849016561227686,0.9889810716404634,0.004079415517694862,-0.7290345042356112,56.52489381677964,56.96061055800494,0.43571674122529913
resnet18,mish,sgd,tinyimagenet200,0,25,-0.1525545839027394,0.9905147797921124,0.9932288001565373,0.0027140203644248073,-0.6927403691080953,57.518032522762525,57.88411398494945,0.3660814621869264
resnet18,mish,sgd,tinyimagenet200,1,25,-0.27052565883344415,0.9914470595472,0.9935290007030264,0.0020819411558263834,-0.5602170561876099,56.58119717766257,57.641917284797216,1.0607201071346495
resnet18,mish,sgd,tinyimagenet200,2,25,-0.15892791300109646,0.9911208889063668,0.9933287080596476,0.002207819153280721,-0.5657265621318818,57.29012904447668,57.93811753216912,0.6479884876924444
resnet18,relu,sgd,tinyimagenet200,0,25,-0.7992395133013706,0.5062538437983569,0.3866074207951041,-0.11964642300325284,0.6015900229347769,51.52276476691751,57.16204587151022,5.639281104592712
resnet18,relu,sgd,tinyimagenet200,1,25,-0.7679988161591257,0.5147861049455755,0.3823318306137533,-0.13245427433182222,0.5868189081664444,51.71620290419634,56.58528608434341,4.869083180147072
resnet18,relu,sgd,tinyimagenet200,2,25,-0.8028072123548974,0.5075847839607912,0.3811646173982059,-0.1264201665625853,0.6725083655377545,52.535129098331225,57.06817739150103,4.533048293169806
resnet18,silu,sgd,tinyimagenet200,0,25,-0.0032841039281271437,0.9905574181500604,0.993717330343583,0.0031599121935226293,-0.5729682341780004,57.79070798088522,58.30117326624253,0.5104652853573057
resnet18,silu,sgd,tinyimagenet200,1,25,-0.26603960387095127,0.9920507388956408,0.994201197343714,0.002150458448073267,-0.2062424461927214,55.68355627620922,57.68754689833697,2.003990622127752
resnet18,silu,sgd,tinyimagenet200,2,25,0.0018110253752303676,0.9906254165312824,0.993786278892966,0.0031608623616835585,-0.5461865959669211,57.72328073838178,58.27984731337603,0.5565665749942497
