activation,seed,ratio,method,baseline_acc,pruned_acc,acc_drop
silu,1,0.5,magnitude,0.9151,0.7342,0.18090000000000006
silu,1,0.5,random,0.9151,0.12,0.7951
silu,1,0.7,gate_density,0.9151,0.1,0.8151
silu,1,0.7,magnitude,0.9151,0.2086,0.7065
silu,1,0.7,random,0.9151,0.1351,0.78
silu,2,0.1,gate_density,0.9171,0.1159,0.8012
silu,2,0.1,magnitude,0.9171,0.8879,0.029200000000000004
silu,2,0.1,random,0.9171,0.8833,0.03380000000000005
silu,2,0.3,gate_density,0.9171,0.1028,0.8143
silu,2,0.3,magnitude,0.9171,0.8172,0.09989999999999999
silu,2,0.3,random,0.9171,0.5656,0.35150000000000003
silu,2,0.5,gate_density,0.9171,0.1002,0.8169000000000001
silu,2,0.5,magnitude,0.9171,0.4313,0.4858
silu,2,0.5,random,0.9171,0.2205,0.6966
silu,2,0.7,gate_density,0.9171,0.1,0.8171
silu,2,0.7,magnitude,0.9171,0.1955,0.7216
silu,2,0.7,random,0.9171,0.1037,0.8134
mish,0,0.1,gate_density,0.9189,0.1093,0.8096000000000001
mish,0,0.1,magnitude,0.9189,0.9143,0.0046000000000000485
mish,0,0.1,random,0.9189,0.784,0.13490000000000002
mish,0,0.3,gate_density,0.9189,0.1122,0.8067000000000001
mish,0,0.3,magnitude,0.9189,0.8874,0.031500000000000083
mish,0,0.3,random,0.9189,0.2895,0.6294000000000001
mish,0,0.5,gate_density,0.9189,0.1179,0.801
mish,0,0.5,magnitude,0.9189,0.7621,0.15680000000000005
mish,0,0.5,random,0.9189,0.1543,0.7646000000000001
mish,0,0.7,gate_density,0.9189,0.1,0.8189000000000001
mish,0,0.7,magnitude,0.9189,0.2104,0.7085
mish,0,0.7,random,0.9189,0.1415,0.7774000000000001
mish,1,0.1,gate_density,0.9186,0.1049,0.8137
mish,1,0.1,magnitude,0.9186,0.9084,0.010199999999999987
mish,1,0.1,random,0.9186,0.8619,0.05669999999999997
mish,1,0.3,gate_density,0.9186,0.1066,0.8119999999999999
mish,1,0.3,magnitude,0.9186,0.8404,0.07819999999999994
