arch,activation,dataset,seed,epoch,test_loss,test_acc,epoch_time,active_frac_t0.001,active_frac_t0.005,active_frac_t0.01,active_frac_t0.05,active_frac_t0.1,gate_mean,gate_median,gate_std,n_gate_values,gate_q1,gate_q5,gate_q25,gate_q50,gate_q75,gate_q95,gate_q99
resnet18,relu,cifar10,0,0,1.563545734024048,0.4112,20.594995737075806,0.48798588235294116,0.48798588235294116,0.48798588235294116,0.48798588235294116,0.48798588235294116,0.48798587918281555,0.0,0.49985557794570923,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,1,1.2754684566497803,0.5331,15.362020254135132,0.48082823529411767,0.48082823529411767,0.48082823529411767,0.48082823529411767,0.48082823529411767,0.4808282256126404,0.0,0.4996322691440582,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,2,1.1266635578155517,0.6009,15.298055648803711,0.47487882352941174,0.47487882352941174,0.47487882352941174,0.47487882352941174,0.47487882352941174,0.47487881779670715,0.0,0.4993685781955719,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,3,1.062434126663208,0.6302,17.330389499664307,0.46516705882352943,0.46516705882352943,0.46516705882352943,0.46516705882352943,0.46516705882352943,0.4651670455932617,0.0,0.49878519773483276,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,4,0.8711335991859436,0.7033,15.64423656463623,0.4567011764705882,0.4567011764705882,0.4567011764705882,0.4567011764705882,0.4567011764705882,0.4567011892795563,0.0,0.4981217384338379,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,5,0.7590676073074341,0.7373,17.134828567504883,0.4448741176470588,0.4448741176470588,0.4448741176470588,0.4448741176470588,0.4448741176470588,0.444874107837677,0.0,0.4969518482685089,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,6,0.9132879667282104,0.6994,18.331005334854126,0.4262035294117647,0.4262035294117647,0.4262035294117647,0.4262035294117647,0.4262035294117647,0.42620351910591125,0.0,0.49452415108680725,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,7,0.6701096035957337,0.7702,16.62691330909729,0.41098235294117647,0.41098235294117647,0.41098235294117647,0.41098235294117647,0.41098235294117647,0.4109823405742645,0.0,0.4920119643211365,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,8,0.6303603086471558,0.7869,16.136231899261475,0.4030364705882353,0.4030364705882353,0.4030364705882353,0.4030364705882353,0.4030364705882353,0.4030364751815796,0.0,0.49050793051719666,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
resnet18,relu,cifar10,0,9,0.6583377523422241,0.7826,16.815523147583008,0.3912376470588235,0.3912376470588235,0.3912376470588235,0.3912376470588235,0.3912376470588235,0.39123764634132385,0.0,0.48802733421325684,850000,0.0,0.0,0.0,0.0,1.0,1.0,1.0
