activation,group,seed,epoch,train_acc,train_loss,test_acc,test_loss,epoch_time,active_frac_t0.01,active_frac_t0.1,gate_mean,gate_std,gate_var,gate_q01,gate_q05,gate_q10,gate_q25,gate_q50,gate_q75,gate_q90,gate_q95,gate_q99
relu,A_hard_gated,0,0,0.2984375,1.9642207387166146,0.417,1.5488584138870238,79.3810510635376,0.5163435294117648,0.5163435294117648,0.5163435339927673,0.4997328519821167,0.24973291158676147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,1,0.4792267628205128,1.415481793269133,0.5412,1.2657179279327393,18.221386671066284,0.5101117647058824,0.5101117647058824,0.5101117491722107,0.49989771842956543,0.24989771842956543,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,2,0.5857371794871795,1.155536770209288,0.6308,1.0266584886550902,18.366565227508545,0.49742,0.49742,0.4974200129508972,0.49999332427978516,0.24999333918094635,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,3,0.6649439102564103,0.9469459211214994,0.6211,1.0755570958137513,18.35506510734558,0.48165882352941175,0.48165882352941175,0.48165881633758545,0.49966347217559814,0.2496635913848877,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,4,0.7235576923076923,0.7919985664196504,0.7397,0.7701943687438965,18.46769881248474,0.46420235294117645,0.46420235294117645,0.464202344417572,0.49871689081192017,0.2487185299396515,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,5,0.7720352564102564,0.6562579532464345,0.7224,0.8386682521820068,18.271423816680908,0.4461117647058824,0.4461117647058824,0.4461117684841156,0.4970875382423401,0.24709603190422058,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,6,0.8001201923076923,0.5777188272812428,0.7923,0.6030665891647339,18.398608684539795,0.42465294117647057,0.42465294117647057,0.42465293407440186,0.49429017305374146,0.2443227618932724,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,7,0.8171274038461539,0.5262016984896782,0.7433,0.7599846904277802,18.457839965820312,0.41118,0.41118,0.4111799895763397,0.4920477867126465,0.24211102724075317,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,8,0.8314102564102565,0.4877600978964414,0.7894,0.615306373500824,18.438873052597046,0.4043176470588235,0.4043176470588235,0.4043176472187042,0.49075940251350403,0.24084480106830597,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,9,0.8438100961538462,0.45272667415631124,0.8123,0.574643313741684,18.28965950012207,0.3990670588235294,0.3990670588235294,0.3990670442581177,0.4897066056728363,0.23981255292892456,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,10,0.8575520833333333,0.4159438621539336,0.8279,0.5179750224113464,18.33893609046936,0.3916635294117647,0.3916635294117647,0.391663521528244,0.4881220757961273,0.23826315999031067,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
relu,A_hard_gated,0,11,0.8677483974358975,0.3841344540317853,0.8122,0.5703685010910035,18.393476963043213,0.38976352941176473,0.38976352941176473,0.3897635340690613,0.48769649863243103,0.23784786462783813,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
