Job ID: 11050242  Node: gilbreth-k010  Start: Fri Jun 19 13:02:50 EDT 2026
[smooth-sweep] device=cuda activations=['relu', 'leaky_relu_0.001', 'leaky_relu_0.01', 'leaky_relu_0.05', 'leaky_relu_0.10', 'prelu', 'softplus_beta50', 'softplus_beta20', 'softplus_beta10', 'softplus_beta5', 'gelu', 'silu', 'mish'] seeds=[0, 1, 2] epochs=25
[smooth-sweep] relu seed=1 epoch= 11/25 train_acc=0.868 test_acc=0.805 af@0.01=0.381 gate_mean=0.3811 gate_var=0.23587 (18.3s)
[smooth-sweep] relu seed=1 epoch= 12/25 train_acc=0.876 test_acc=0.845 af@0.01=0.380 gate_mean=0.3800 gate_var=0.23561 (18.2s)
[smooth-sweep] relu seed=1 epoch= 13/25 train_acc=0.885 test_acc=0.856 af@0.01=0.379 gate_mean=0.3790 gate_var=0.23536 (18.2s)
[smooth-sweep] relu seed=1 epoch= 14/25 train_acc=0.895 test_acc=0.858 af@0.01=0.378 gate_mean=0.3782 gate_var=0.23518 (18.2s)
[smooth-sweep] relu seed=1 epoch= 15/25 train_acc=0.909 test_acc=0.871 af@0.01=0.374 gate_mean=0.3744 gate_var=0.23423 (18.2s)
[smooth-sweep] relu seed=1 epoch= 16/25 train_acc=0.918 test_acc=0.875 af@0.01=0.372 gate_mean=0.3718 gate_var=0.23356 (18.2s)
[smooth-sweep] relu seed=1 epoch= 17/25 train_acc=0.929 test_acc=0.884 af@0.01=0.371 gate_mean=0.3706 gate_var=0.23326 (18.1s)
[smooth-sweep] relu seed=1 epoch= 18/25 train_acc=0.939 test_acc=0.900 af@0.01=0.370 gate_mean=0.3695 gate_var=0.23298 (18.2s)
[smooth-sweep] relu seed=1 epoch= 19/25 train_acc=0.952 test_acc=0.903 af@0.01=0.371 gate_mean=0.3710 gate_var=0.23335 (18.3s)
[smooth-sweep] relu seed=1 epoch= 20/25 train_acc=0.963 test_acc=0.911 af@0.01=0.369 gate_mean=0.3691 gate_var=0.23287 (18.3s)
[smooth-sweep] relu seed=1 epoch= 21/25 train_acc=0.972 test_acc=0.921 af@0.01=0.370 gate_mean=0.3699 gate_var=0.23307 (18.3s)
[smooth-sweep] relu seed=1 epoch= 22/25 train_acc=0.979 test_acc=0.926 af@0.01=0.369 gate_mean=0.3694 gate_var=0.23294 (18.1s)
[smooth-sweep] relu seed=1 epoch= 23/25 train_acc=0.983 test_acc=0.927 af@0.01=0.371 gate_mean=0.3706 gate_var=0.23326 (18.2s)
[smooth-sweep] relu seed=1 epoch= 24/25 train_acc=0.986 test_acc=0.927 af@0.01=0.370 gate_mean=0.3702 gate_var=0.23315 (18.1s)
[smooth-sweep] relu seed=1 done in 7.6 min
[smooth-sweep] relu seed=2 epoch=  0/25 train_acc=0.315 test_acc=0.422 af@0.01=0.494 gate_mean=0.4940 gate_var=0.24996 (18.6s)
[smooth-sweep] relu seed=2 epoch=  1/25 train_acc=0.479 test_acc=0.531 af@0.01=0.487 gate_mean=0.4868 gate_var=0.24982 (18.2s)
[smooth-sweep] relu seed=2 epoch=  2/25 train_acc=0.594 test_acc=0.595 af@0.01=0.476 gate_mean=0.4762 gate_var=0.24943 (18.1s)
[smooth-sweep] relu seed=2 epoch=  3/25 train_acc=0.669 test_acc=0.659 af@0.01=0.462 gate_mean=0.4617 gate_var=0.24853 (18.0s)
[smooth-sweep] relu seed=2 epoch=  4/25 train_acc=0.714 test_acc=0.726 af@0.01=0.444 gate_mean=0.4443 gate_var=0.24689 (18.1s)
[smooth-sweep] relu seed=2 epoch=  5/25 train_acc=0.761 test_acc=0.753 af@0.01=0.429 gate_mean=0.4286 gate_var=0.24490 (18.2s)
[smooth-sweep] relu seed=2 epoch=  6/25 train_acc=0.795 test_acc=0.780 af@0.01=0.411 gate_mean=0.4109 gate_var=0.24206 (18.3s)
[smooth-sweep] relu seed=2 epoch=  7/25 train_acc=0.815 test_acc=0.797 af@0.01=0.399 gate_mean=0.3987 gate_var=0.23974 (18.2s)
[smooth-sweep] relu seed=2 epoch=  8/25 train_acc=0.831 test_acc=0.752 af@0.01=0.391 gate_mean=0.3912 gate_var=0.23816 (18.1s)
