========================================
Job ID       : 11039609
Node         : gilbreth-k043
GPU          : NVIDIA A100 80GB PCIe, 81920 MiB
Start time   : Thu Jun 18 04:25:35 EDT 2026
========================================

Dataset check (already pre-downloaded to ./data on the login node,
shared over /home — compute nodes may not have outbound internet):
total 331459
drwxr-xr-x 4 aelmersa student         6 Jun 18 03:35 .
drwxr-xr-x 9 aelmersa student        17 Jun 18 04:25 ..
drwxr-xr-x 2 aelmersa student        10 Jun  4  2009 cifar-10-batches-py
-rw-r--r-- 1 aelmersa student 170498071 Jun 18 03:33 cifar-10-python.tar.gz
drwxr-xr-x 2 aelmersa student         6 Feb 19  2010 cifar-100-python
-rw-r--r-- 1 aelmersa student 169001437 Jun 18 03:35 cifar-100-python.tar.gz

========================================
Running training-dynamics sweep (Phase 4)
========================================
[train-dyn] device=cuda  archs=['resnet18', 'resnet50', 'vgg11', 'vit_b_16', 'convnext_tiny']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet18/cifar10 seed=1 epoch= 15/25 test_acc=0.882 active_frac=0.366 eff_rank=54.77 (15.0s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 16/25 test_acc=0.880 active_frac=0.369 eff_rank=54.96 (15.0s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 17/25 test_acc=0.890 active_frac=0.366 eff_rank=55.02 (14.9s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 18/25 test_acc=0.903 active_frac=0.365 eff_rank=55.06 (14.9s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 19/25 test_acc=0.905 active_frac=0.364 eff_rank=55.13 (14.8s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 20/25 test_acc=0.913 active_frac=0.364 eff_rank=55.08 (15.1s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 21/25 test_acc=0.919 active_frac=0.364 eff_rank=55.09 (14.9s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 22/25 test_acc=0.924 active_frac=0.364 eff_rank=55.08 (15.0s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 23/25 test_acc=0.926 active_frac=0.364 eff_rank=55.35 (15.1s)
[train-dyn] resnet18/cifar10 seed=1 epoch= 24/25 test_acc=0.925 active_frac=0.364 eff_rank=55.18 (14.8s)
[train-dyn] resnet18/cifar10 seed=1 done in 6.3 min
[train-dyn] resnet18/cifar10 seed=2 epoch=  0/25 test_acc=0.426 active_frac=0.498 eff_rank=39.35 (14.7s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  1/25 test_acc=0.541 active_frac=0.491 eff_rank=44.56 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  2/25 test_acc=0.617 active_frac=0.489 eff_rank=48.99 (14.7s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  3/25 test_acc=0.683 active_frac=0.475 eff_rank=50.59 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  4/25 test_acc=0.722 active_frac=0.463 eff_rank=52.07 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  5/25 test_acc=0.688 active_frac=0.442 eff_rank=52.91 (14.7s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  6/25 test_acc=0.791 active_frac=0.432 eff_rank=53.82 (14.7s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  7/25 test_acc=0.762 active_frac=0.414 eff_rank=54.11 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  8/25 test_acc=0.766 active_frac=0.403 eff_rank=54.00 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch=  9/25 test_acc=0.785 active_frac=0.397 eff_rank=54.52 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 10/25 test_acc=0.836 active_frac=0.394 eff_rank=54.09 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 11/25 test_acc=0.822 active_frac=0.392 eff_rank=54.28 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 12/25 test_acc=0.834 active_frac=0.388 eff_rank=54.48 (14.8s)
[train-dyn] resnet18/cifar10 seed=2 epoch= 13/25 test_acc=0.848 active_frac=0.389 eff_rank=54.50 (14.8s)
