Job ID: 11044075  Node: gilbreth-k050  Start: Thu Jun 18 18:34:58 EDT 2026
[train-dyn] device=cuda  archs=['resnet18', 'vgg11']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  8/25 train_acc=0.839 test_acc=0.836 active_frac=0.992 eff_rank=56.37 grad_norm=1.86 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  9/25 train_acc=0.844 test_acc=0.833 active_frac=0.993 eff_rank=56.66 grad_norm=1.95 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 10/25 train_acc=0.857 test_acc=0.849 active_frac=0.993 eff_rank=56.66 grad_norm=2.11 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 11/25 train_acc=0.869 test_acc=0.852 active_frac=0.993 eff_rank=56.34 grad_norm=2.47 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 12/25 train_acc=0.876 test_acc=0.858 active_frac=0.993 eff_rank=56.66 grad_norm=2.68 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 13/25 train_acc=0.885 test_acc=0.868 active_frac=0.993 eff_rank=56.53 grad_norm=2.3 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 14/25 train_acc=0.896 test_acc=0.875 active_frac=0.993 eff_rank=56.62 grad_norm=2.63 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 15/25 train_acc=0.904 test_acc=0.881 active_frac=0.993 eff_rank=56.52 grad_norm=2.87 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 16/25 train_acc=0.911 test_acc=0.881 active_frac=0.993 eff_rank=56.69 grad_norm=2.71 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 17/25 train_acc=0.922 test_acc=0.893 active_frac=0.993 eff_rank=56.67 grad_norm=3.53 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 18/25 train_acc=0.933 test_acc=0.907 active_frac=0.993 eff_rank=56.58 grad_norm=3.39 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 19/25 train_acc=0.944 test_acc=0.904 active_frac=0.993 eff_rank=56.64 grad_norm=2.61 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 20/25 train_acc=0.952 test_acc=0.917 active_frac=0.993 eff_rank=56.80 grad_norm=2.96 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 21/25 train_acc=0.961 test_acc=0.917 active_frac=0.993 eff_rank=56.82 grad_norm=3.78 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 22/25 train_acc=0.968 test_acc=0.920 active_frac=0.993 eff_rank=56.67 grad_norm=4.35 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 23/25 train_acc=0.973 test_acc=0.924 active_frac=0.993 eff_rank=56.86 grad_norm=4.22 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 24/25 train_acc=0.977 test_acc=0.924 active_frac=0.993 eff_rank=56.64 grad_norm=4.02 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 done in 7.6 min
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  0/25 train_acc=0.350 test_acc=0.453 active_frac=0.984 eff_rank=46.83 grad_norm=1.29 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  1/25 train_acc=0.514 test_acc=0.585 active_frac=0.986 eff_rank=52.01 grad_norm=1.38 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  2/25 train_acc=0.634 test_acc=0.652 active_frac=0.988 eff_rank=54.01 grad_norm=1.91 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  3/25 train_acc=0.706 test_acc=0.710 active_frac=0.989 eff_rank=54.88 grad_norm=1.59 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  4/25 train_acc=0.752 test_acc=0.744 active_frac=0.990 eff_rank=55.67 grad_norm=1.42 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  5/25 train_acc=0.781 test_acc=0.761 active_frac=0.991 eff_rank=55.59 grad_norm=1.66 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  6/25 train_acc=0.801 test_acc=0.786 active_frac=0.992 eff_rank=55.93 grad_norm=1.62 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  7/25 train_acc=0.816 test_acc=0.802 active_frac=0.992 eff_rank=55.77 grad_norm=1.9 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  8/25 train_acc=0.828 test_acc=0.830 active_frac=0.993 eff_rank=56.41 grad_norm=1.84 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch=  9/25 train_acc=0.841 test_acc=0.817 active_frac=0.993 eff_rank=56.26 grad_norm=1.93 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 10/25 train_acc=0.854 test_acc=0.847 active_frac=0.993 eff_rank=55.71 grad_norm=2.21 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 11/25 train_acc=0.861 test_acc=0.826 active_frac=0.993 eff_rank=56.10 grad_norm=1.95 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 12/25 train_acc=0.872 test_acc=0.865 active_frac=0.993 eff_rank=55.92 grad_norm=2.06 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 13/25 train_acc=0.883 test_acc=0.850 active_frac=0.993 eff_rank=56.19 grad_norm=2.69 (18.0s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 14/25 train_acc=0.892 test_acc=0.867 active_frac=0.993 eff_rank=56.01 grad_norm=2.02 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 15/25 train_acc=0.901 test_acc=0.879 active_frac=0.993 eff_rank=56.09 grad_norm=2.23 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 16/25 train_acc=0.910 test_acc=0.891 active_frac=0.993 eff_rank=56.10 grad_norm=2.49 (18.0s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 17/25 train_acc=0.922 test_acc=0.896 active_frac=0.993 eff_rank=56.33 grad_norm=2.45 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 18/25 train_acc=0.930 test_acc=0.898 active_frac=0.993 eff_rank=56.24 grad_norm=3.24 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 19/25 train_acc=0.940 test_acc=0.901 active_frac=0.994 eff_rank=56.18 grad_norm=4.06 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 20/25 train_acc=0.951 test_acc=0.916 active_frac=0.994 eff_rank=56.41 grad_norm=3.78 (18.0s)
[train-dyn] resnet18(gelu)/cifar10 seed=2 epoch= 21/25 train_acc=0.960 test_acc=0.919 active_frac=0.994 eff_rank=55.98 grad_norm=4.79 (18.3s)
